scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",10,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.043999671936035156,0.03617978096008301,0.11980295181274414
DEU_LocationALower-13_167_T-1,17,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.9788742065429688e-05,0.023023366928100586,0.0712890625,0.13230443000793457
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.2411346435546875e-05,0.07106971740722656,0.041623592376708984,0.15847444534301758
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",14,13,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.1457672119140625e-05,0.07404708862304688,0.030627965927124023,0.13508081436157227
DEU_LocationALower-13_239_T-1,18,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",12,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0,0,2.0742416381835938e-05
DEU_LocationALower-13_241_T-1,20,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",18,17,[<Maneuver.BRAKE: 'brake'>],7.009506225585938e-05,0.040465354919433594,0.09982919692993164,0.1403646469116211
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0503997802734375e-05,0.023350954055786133,0.10330367088317871,0.16697406768798828
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0.03483939170837402,0.05835461616516113,0.1205434799194336
DEU_LocationALower-14_219_T-1,12,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.224082946777344e-05,0.08191061019897461,0.139207124710083,0.2211899757385254
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",13,12,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.193450927734375e-05,0.04288673400878906,0.03337359428405762,0.10910797119140625
