scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk,,
Nr of scenarios,79,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,66,0.8354,,,,,,,,
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",16,15,0.000030517578125,0.0447847843170166,0.0354452133178711,0.0915775299072266,7,1,107.775371445479,,
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",5,4,2.90870666503906E-05,0.027247428894043,0.0856983661651611,0.148097276687622,12,1,104.946965809544,,
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,3.45706939697266E-05,0.0374579429626465,0.0583434104919434,0.120365381240845,11,1,110.045184298745,,
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",7,6,2.95639038085937E-05,0.025742769241333,0.0466384887695313,0.088040828704834,11,1,123.593313355272,,
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'d', 'b', '~g', 'a', 'c'}",8,7,3.52859497070312E-05,0.0740432739257813,0.0598645210266113,0.160845041275024,6,1,110.289367843897,,
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",8,7,3.02791595458984E-05,0.038874626159668,0.0657968521118164,0.130262851715088,7,1,110.966020749376,,
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,3.12328338623047E-05,0.0285804271697998,0.136092901229858,0.205392837524414,17,1,136.063043897458,,
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",9,8,3.71932983398437E-05,0.0396785736083984,0.0710630416870117,0.13477087020874,15,1,130.989436988752,,
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",2,1,3.71932983398437E-05,0.016815185546875,0.111373662948608,0.173815727233887,12,1,184.165114632518,,
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",5,4,3.31401824951172E-05,0.0296890735626221,0.0886764526367188,0.152341604232788,12,1,106.869643927228,,
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",4,3,3.83853912353516E-05,0.0316927433013916,0.138767957687378,0.207526445388794,18,1,110.886307840049,,
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,3.21865081787109E-05,0.0284323692321777,0.112025260925293,0.17971396446228,7,1,138.743407275775,,
DEU_LocationALower-31_47_T-1,13,R_G1,bingo,"{'d', 'b', '~g', 'a', 'c'}",7,6,3.50475311279297E-05,0.128034114837646,0.073103666305542,0.232656717300415,11,1,113.000784758695,,
