scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'b', '~e', '~a'}",4,3,3.504753112792969e-05,0.017782211303710938,0.027352571487426758,0.06301569938659668
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'b', '~a'}",6,3,2.5987625122070312e-05,0.027980327606201172,0.0364375114440918,0.1167600154876709
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'b', '~e', '~a'}",4,3,3.743171691894531e-05,0.025795459747314453,0.038025617599487305,0.08921599388122559
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'b', '~a'}",7,3,2.6226043701171875e-05,0.03871726989746094,0.051288604736328125,0.1139833927154541
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'b', '~a'}",11,3,2.8133392333984375e-05,0.03587484359741211,0.042604684829711914,0.09762787818908691
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'b', '~a'}",7,3,2.6226043701171875e-05,0.03367757797241211,0.05549979209899902,0.11002373695373535
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~n'}",6,3,1.9311904907226562e-05,0.07026147842407227,0.047952890396118164,0.13830971717834473
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'b', '~e', '~a'}",5,4,3.409385681152344e-05,0.019193649291992188,0.027172327041625977,0.06567525863647461
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,bingo,"{'b', '~e', '~a'}",7,4,3.528594970703125e-05,0.03203415870666504,0.029152870178222656,0.07800054550170898
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,bingo,"{'b', '~a'}",8,4,2.4557113647460938e-05,0.03125882148742676,0.03278994560241699,0.08397936820983887
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'b', '~a'}",8,4,2.8133392333984375e-05,0.04281735420227051,0.0360112190246582,0.09774088859558105
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,bingo,"{'b', '~e', '~a'}",6,4,4.00543212890625e-05,0.034859657287597656,0.027410507202148438,0.07919073104858398
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'b', '~a'}",10,4,2.4318695068359375e-05,0.03432464599609375,0.03693675994873047,0.09053277969360352
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'b', '~a'}",8,4,3.0040740966796875e-05,0.030824661254882812,0.03804826736450195,0.08872365951538086
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'b', '~a'}",8,4,2.4557113647460938e-05,0.03159451484680176,0.04114127159118652,0.09692573547363281
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'b', '~a'}",7,4,2.6226043701171875e-05,0.03469967842102051,0.0446319580078125,0.1010904312133789
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~j', '~n'}",12,4,2.6941299438476562e-05,0.1034233570098877,0.041350364685058594,0.1629781723022461
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~d', '~o'}",11,4,2.2172927856445312e-05,0.15452337265014648,0.049086570739746094,0.22508955001831055
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'b', '~a'}",8,5,2.9325485229492188e-05,0.03491783142089844,0.03638005256652832,0.09026789665222168
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'b', '~e', '~a'}",8,5,3.790855407714844e-05,0.04037833213806152,0.03286123275756836,0.09183549880981445
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'b', '~a'}",9,5,3.0279159545898438e-05,0.04491686820983887,0.05304384231567383,0.11980366706848145
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'b', '~a'}",9,5,2.6702880859375e-05,0.04416823387145996,0.04062056541442871,0.11771488189697266
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~j', '~n'}",10,5,2.5987625122070312e-05,0.09265565872192383,0.045065879821777344,0.15606117248535156
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~j', '~n'}",12,5,2.2411346435546875e-05,0.0894157886505127,0.04010319709777832,0.1481938362121582
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,bingo,"{'~j', '~n'}",11,5,2.3603439331054688e-05,0.09932470321655273,0.06306862831115723,0.1839277744293213
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'b', '~a'}",10,6,2.5033950805664062e-05,0.038422346115112305,0.0338740348815918,0.0893247127532959
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'b', '~a'}",10,6,2.4318695068359375e-05,0.04373598098754883,0.037683963775634766,0.09887337684631348
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~j', '~n'}",11,6,1.9550323486328125e-05,0.09665250778198242,0.05071616172790527,0.16460061073303223
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'b', '~a'}",11,7,2.5033950805664062e-05,0.030439138412475586,0.033078670501708984,0.08221983909606934
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'b', '~a'}",11,7,6.461143493652344e-05,0.028873682022094727,0.03543853759765625,0.08104610443115234
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'b', '~a'}",8,7,2.4318695068359375e-05,0.028173208236694336,0.06836366653442383,0.11089277267456055
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'b', '~a'}",11,7,3.719329833984375e-05,0.03291487693786621,0.030011415481567383,0.07975029945373535
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'b', '~a'}",10,7,2.384185791015625e-05,0.03011178970336914,0.05216383934020996,0.10971713066101074
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'b', '~a'}",11,7,2.5272369384765625e-05,0.03178119659423828,0.03161883354187012,0.08829545974731445
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'b', '~a'}",11,7,3.0040740966796875e-05,0.02949237823486328,0.033463478088378906,0.07938861846923828
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'b', '~a'}",12,8,2.6464462280273438e-05,0.03033137321472168,0.02921748161315918,0.07440471649169922
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'b', '~a'}",12,8,2.8848648071289062e-05,0.027954816818237305,0.032093048095703125,0.07533097267150879
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'b', '~a'}",11,8,2.5510787963867188e-05,0.03953981399536133,0.030862808227539062,0.08501601219177246
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'b', '~a'}",11,8,2.574920654296875e-05,0.03956794738769531,0.053578853607177734,0.10780668258666992
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'b', '~a'}",13,8,3.075599670410156e-05,0.03759407997131348,0.03344082832336426,0.08640146255493164
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'b', '~a'}",12,8,2.5510787963867188e-05,0.03738284111022949,0.030808448791503906,0.08360671997070312
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'b', '~a'}",12,8,3.361701965332031e-05,0.034149885177612305,0.03363633155822754,0.08659029006958008
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'b', '~a'}",13,8,3.147125244140625e-05,0.04291367530822754,0.04552960395812988,0.10412955284118652
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~b', '~d', '~g', '~i', '~j', '~a', '~e', '~c', '~f', '~h'}",9,8,3.24249267578125e-05,0.07884478569030762,0.03591179847717285,0.13133835792541504
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'b', '~a'}",12,9,3.62396240234375e-05,0.03939700126647949,0.028645753860473633,0.0877535343170166
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'b', '~a'}",14,9,3.0279159545898438e-05,0.03922247886657715,0.05970001220703125,0.11435151100158691
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'b', '~a'}",13,9,2.8848648071289062e-05,0.04628610610961914,0.0341949462890625,0.09422755241394043
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,bingo,"{'b', '~a'}",10,9,3.24249267578125e-05,0.03260159492492676,0.029624223709106445,0.07346916198730469
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,bingo,"{'b', '~a'}",14,9,2.765655517578125e-05,0.04160904884338379,0.02875828742980957,0.08569908142089844
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'b', '~a'}",13,9,3.147125244140625e-05,0.0415797233581543,0.06193113327026367,0.11787152290344238
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'b', '~a'}",14,10,2.7894973754882812e-05,0.038126468658447266,0.02906632423400879,0.09059619903564453
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'b', '~a'}",13,10,2.6702880859375e-05,0.03777623176574707,0.030671119689941406,0.08294868469238281
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'b', '~a'}",14,10,2.86102294921875e-05,0.03929734230041504,0.030145883560180664,0.1108095645904541
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,bingo,"{'b', '~a'}",12,11,2.574920654296875e-05,0.024883270263671875,0.027643680572509766,0.06322503089904785
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,bingo,"{'b', '~a'}",13,11,2.765655517578125e-05,0.03481030464172363,0.02674245834350586,0.07285833358764648
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'b', '~a'}",13,11,2.8371810913085938e-05,0.03731083869934082,0.023683786392211914,0.07174563407897949
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'b', '~a'}",14,12,2.4557113647460938e-05,0.036312103271484375,0.023037433624267578,0.06894779205322266
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,bingo,"{'b', '~a'}",13,12,2.4318695068359375e-05,0.02483510971069336,0.024478435516357422,0.07635688781738281
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'b', '~a'}",16,12,2.384185791015625e-05,0.04313468933105469,0.028363704681396484,0.08153963088989258
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,bingo,"{'b', '~a'}",14,13,3.790855407714844e-05,0.023612022399902344,0.028876781463623047,0.06282210350036621
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,bingo,"{'b', '~a'}",14,13,2.384185791015625e-05,0.028226137161254883,0.022907018661499023,0.05979180335998535
DEU_AachenBendplatz-1_73200_T-3219,10123,R_IN1,bingo,"{'b', '~e', '~a'}",16,13,4.172325134277344e-05,0.04746890068054199,0.027570724487304688,0.08418607711791992
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,bingo,"{'b', '~a'}",15,13,2.4080276489257812e-05,0.03765416145324707,0.029807090759277344,0.07942318916320801
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,bingo,"{'b', '~a'}",17,14,3.3855438232421875e-05,0.03477001190185547,0.02619481086730957,0.06940579414367676
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,bingo,"{'b', '~a'}",17,15,2.3126602172851562e-05,0.03363180160522461,0.022089242935180664,0.06279850006103516
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,bingo,"{'b', '~a'}",16,15,2.6226043701171875e-05,0.03201770782470703,0.032669782638549805,0.0716094970703125
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,bingo,"{'b', '~a'}",17,15,2.6226043701171875e-05,0.04070615768432617,0.024619102478027344,0.07223129272460938
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,bingo,{'b'},18,16,2.4557113647460938e-05,0.03410530090332031,0.02261185646057129,0.06252193450927734
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,bingo,"{'b', '~a'}",18,16,2.956390380859375e-05,0.03252434730529785,0.022549867630004883,0.06107473373413086
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,bingo,"{'b', '~a'}",18,16,2.5272369384765625e-05,0.032472848892211914,0.0471949577331543,0.08643603324890137
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,bingo,"{'b', '~a'}",17,16,2.47955322265625e-05,0.041979312896728516,0.020987510681152344,0.08812999725341797
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,bingo,{'b'},18,17,1.621246337890625e-05,0.03453469276428223,0.02068614959716797,0.13325023651123047
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,bingo,{'b'},18,17,1.5020370483398438e-05,0.03310704231262207,0.026589155197143555,0.06442880630493164
DEU_AachenBendplatz-1_133560_T-3579,10256,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~b', '~m', '~d', '~k', '~g', '~i', 'h', '~j', '~a', 'o', 'n', '~e', '~c', '~f'}",4,0,8.440017700195312e-05,0.07904696464538574,0.023624420166015625,0.10275578498840332
DEU_AachenBendplatz-1_162440_T-2459,10193,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~b', '~m', '~d', '~k', '~g', '~i', 'h', '~j', '~a', 'o', 'n', '~e', '~c', '~f'}",5,0,9.250640869140625e-05,0.0884397029876709,0.025016069412231445,0.11354827880859375
DEU_AachenBendplatz-1_153060_T-3079,10203,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~b', '~m', '~d', '~k', '~g', '~i', 'h', '~j', '~a', 'o', 'n', '~e', '~c', '~f'}",6,0,9.131431579589844e-05,0.09792089462280273,0.025203466415405273,0.1232156753540039
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,bingo,"{'~j', '~n'}",5,0,1.8596649169921875e-05,0.04760932922363281,0.050110578536987305,0.12691569328308105
DEU_AachenBendplatz-1_81800_T-1819,10134,R_IN4,error/failed with maximum recursion depth exceeded in comparison,"{'~m', 'l', '~d', '~e', '~k', '~g', '~i', 'h', '~j', '~a', 'o', 'n', '~b', '~c', '~f'}",6,0,0.00015807151794433594,0.16107559204101562,0.12761592864990234,0.2888495922088623
