scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",4,3,2.956390380859375e-05,0.02654552459716797,0.107940673828125,0.1694810390472412,16,1
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",8,7,2.9802322387695312e-05,0.036699533462524414,0.06939077377319336,0.13152337074279785,16,1
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",3,2,9.012222290039062e-05,0.12290620803833008,0.1545119285583496,0.2775082588195801,7,4
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",16,15,2.9325485229492188e-05,0.04340052604675293,0.03344297409057617,0.08776116371154785,7,1
DEU_LocationALower-28_252_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",5,4,2.6941299438476562e-05,0.026428937911987305,0.06865072250366211,0.12868189811706543,12,1
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",9,8,2.7894973754882812e-05,0.03585505485534668,0.05095624923706055,0.10980224609375,11,1
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",7,6,2.9087066650390625e-05,0.02559947967529297,0.044014930725097656,0.08513092994689941,11,1
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'b', 'd', '~g', 'a', 'c'}",8,7,2.86102294921875e-05,0.06974077224731445,0.04625248908996582,0.14115571975708008,6,1
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",8,7,2.6464462280273438e-05,0.03697538375854492,0.05448007583618164,0.1162729263305664,7,1
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",3,2,2.8133392333984375e-05,0.027345657348632812,0.10851192474365234,0.17502903938293457,17,1
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",9,8,2.7179718017578125e-05,0.03703808784484863,0.061492919921875,0.12181854248046875,15,1
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",2,1,3.0040740966796875e-05,0.015325546264648438,0.08469200134277344,0.1434166431427002,12,1
DEU_LocationALower-29_70_T-1,11,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",5,4,3.0040740966796875e-05,0.026942014694213867,0.07183051109313965,0.13098716735839844,12,1
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-30_46_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-31_154_T-1,9,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-31_239_T-1,16,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",4,3,2.6941299438476562e-05,0.0265347957611084,0.11096858978271484,0.17222905158996582,18,1
DEU_LocationALower-31_24_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-31_258_T-1,12,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",5,4,9.131431579589844e-05,0.08017158508300781,0.1845264434814453,0.264789342880249,11,4
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",3,2,2.86102294921875e-05,0.027702808380126953,0.0906987190246582,0.15632939338684082,7,1
DEU_LocationALower-31_47_T-1,13,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",7,6,9.322166442871094e-05,0.1130983829498291,0.16048908233642578,0.2736806869506836,11,4
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",9,8,9.059906005859375e-05,0.11135649681091309,0.14487457275390625,0.25632166862487793,10,4
DEU_LocationALower-32_136_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_186_T-1,12,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",2,1,2.6464462280273438e-05,0.015013456344604492,0.07356142997741699,0.13159799575805664,9,1
DEU_LocationALower-32_70_T-1,14,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",8,7,2.8371810913085938e-05,0.0370333194732666,0.05584454536437988,0.11761784553527832,7,1
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",2,1,9.059906005859375e-05,0.11569929122924805,0.1572566032409668,0.27304649353027344,8,4
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_142_T-1,10,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_16_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",6,5,2.47955322265625e-05,0.02246546745300293,0.04439425468444824,0.08938336372375488,5,1
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",15,14,2.6464462280273438e-05,0.04266810417175293,0.04056954383850098,0.09560203552246094,9,1
DEU_LocationALower-33_233_T-1,14,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",9,8,2.7179718017578125e-05,0.03750181198120117,0.053153038024902344,0.11378145217895508,11,1
DEU_LocationALower-33_261_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",11,10,2.765655517578125e-05,0.037331342697143555,0.050263404846191406,0.1067967414855957,15,1
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'h', 'b', 'g', 'd', '~e', 'f', 'a', 'c'}",2,1,8.845329284667969e-05,0.07580280303955078,0.18009352684020996,0.2559847831726074,11,4
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",3,2,2.8133392333984375e-05,0.02712416648864746,0.07797551155090332,0.14336585998535156,10,1
DEU_LocationALower-34_120_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",4,3,3.0040740966796875e-05,0.026904821395874023,0.08202791213989258,0.14489316940307617,7,1
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",16,15,3.123283386230469e-05,0.042626380920410156,0.03853559494018555,0.09195828437805176,9,1
DEU_LocationALower-34_163_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-34_179_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",2,1,2.6702880859375e-05,0.015642881393432617,0.12134909629821777,0.1773521900177002,16,1
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",3,2,2.9325485229492188e-05,0.027697086334228516,0.07631731033325195,0.1425952911376953,8,1
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",8,7,2.8848648071289062e-05,0.037299156188964844,0.051099300384521484,0.11355352401733398,9,1
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'b', 'd', 'e', 'a', 'c'}",2,1,2.6226043701171875e-05,0.015522003173828125,0.0877377986907959,0.14586710929870605,15,1
