scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.24113464355469E-05,0.0710697174072266,0.041623592376709,0.158474445343018
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",14,13,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.14576721191406E-05,0.0740470886230469,0.030627965927124,0.135080814361572
DEU_LocationALower-13_56_T-1,10,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",1,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.05039978027344E-05,0.0233509540557861,0.103303670883179,0.166974067687988
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359E-05,0.034839391708374,0.0583546161651611,0.120543479919434
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",13,12,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.19345092773437E-05,0.0428867340087891,0.0333735942840576,0.109107971191406
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375E-05,0.044389009475708,0.0348069667816162,0.120771408081055
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",16,15,[<Maneuver.BRAKE: 'brake'>],3.93390655517578E-05,0.0370259284973145,0.0284829139709473,0.0760669708251953
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.14576721191406E-05,0.0450069904327393,0.0427103042602539,0.111281871795654
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",16,15,[<Maneuver.BRAKE: 'brake'>],0.000206232070922852,0.0321273803710937,0.0265936851501465,0.0693767070770264
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.26497650146484E-05,0.0347208976745605,0.0767068862915039,0.143614292144775
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.86238098144531E-05,0.034109354019165,0.0468330383300781,0.128628253936768
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.14576721191406E-05,0.0435829162597656,0.035377025604248,0.120463848114014
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.07424163818359E-05,0.0779533386230469,0.0348734855651855,0.156496524810791
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359E-05,0.0448760986328125,0.0390596389770508,0.126925706863403
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422E-05,0.0352816581726074,0.0788161754608154,0.1495201587677
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422E-05,0.0451886653900147,0.0411186218261719,0.124812126159668
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422E-05,0.0236420631408691,0.0597171783447266,0.123072624206543
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375E-05,0.035754919052124,0.0514762401580811,0.135444402694702
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.9073486328125E-05,0.0341541767120361,0.0704710483551025,0.13919472694397
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375E-05,0.0440840721130371,0.0401771068572998,0.107521533966064
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",6,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422E-05,0.0290682315826416,0.0311923027038574,0.0820255279541016
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422E-05,0.0375168323516846,0.0593662261962891,0.151422262191772
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375E-05,0.0374047756195068,0.0669784545898438,0.159106731414795
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359E-05,0.0239481925964355,0.0934057235717773,0.154183864593506
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359E-05,0.0451662540435791,0.0366039276123047,0.125453233718872
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",14,13,[<Maneuver.BRAKE: 'brake'>],1.95503234863281E-05,0.0269389152526855,0.0289123058319092,0.0685253143310547
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375E-05,0.0215497016906738,0.0367434024810791,0.0762512683868408
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",11,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.12192535400391E-05,0.0436265468597412,0.0325198173522949,0.094160795211792
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",15,14,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.81198120117187E-05,0.050684928894043,0.0277726650238037,0.0898351669311523
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.24113464355469E-05,0.0346255302429199,0.0521068572998047,0.136690855026245
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,[<Maneuver.BRAKE: 'brake'>],2.12192535400391E-05,0.0203750133514404,0.067619800567627,0.120874881744385
