Nr of scenarios,111,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,110,0.991,,,,,,,,
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,bingo,"{'~a', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.02927398681641E-05,0.000119447708129883,0.04227614402771,0.0640435218811035,7,2,13.3531235238266,
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.91278076171875E-05,0.000118732452392578,0.0408368110656738,0.0626661777496338,6,3,15.7462679939659,
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'~a', 'b'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.00010371208190918,0.0811417102813721,0.115404367446899,7,2,149.36701316249,
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~a', '~e', 'b'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.07831573486328E-05,0.000133275985717773,0.0527822971343994,0.0749385356903076,12,3,4.82117889368191,
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'~a', 'b'}",7,0,[<Maneuver.BRAKE: 'brake'>],4.1961669921875E-05,0.000136375427246094,0.07663893699646,0.110629796981812,7,2,138.843902309132,
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],4.05311584472656E-05,0.000110626220703125,0.0742118358612061,0.101926326751709,8,2,50.4591352343944,
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~a', 'b'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.57627868652344E-05,9.39369201660156E-05,0.0780816078186035,0.109155654907227,7,2,111.970085088204,
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'~a', '~e', 'b'}",5,0,[<Maneuver.BRAKE: 'brake'>],5.10215759277344E-05,0.000117778778076172,0.0423226356506348,0.0655298233032227,6,3,17.8320538365638,
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.76701354980469E-05,0.000111818313598633,0.0711488723754883,0.104224443435669,7,2,130.899802845514,
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000103950500488281,0.069666862487793,0.0973885059356689,8,2,58.5206659348438,
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', 'b'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.000106573104858398,0.0703113079071045,0.10070276260376,11,2,71.031317453685,
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.86238098144531E-05,0.000104665756225586,0.0773413181304932,0.109037399291992,9,2,126.721852557157,
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.71932983398437E-05,0.000127553939819336,0.071561336517334,0.104556560516357,7,2,144.301661499745,
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'~a', 'b'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.31401824951172E-05,9.70363616943359E-05,0.0673651695251465,0.0981295108795166,8,2,128.564851226144,
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'~a', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,0.00010371208190918,0.0755207538604736,0.106969594955444,11,2,128.335782002416,
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'~a', '~e', 'b'}",8,0,[<Maneuver.BRAKE: 'brake'>],5.10215759277344E-05,0.000124216079711914,0.0439453125,0.0675091743469238,9,3,7.69884994440889,
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'~a', 'b'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.91006469726562E-05,0.000123262405395508,0.0708770751953125,0.104626893997192,7,2,141.278327475635,
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'~a', 'b'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000106573104858398,0.0784008502960205,0.113601922988892,10,2,145.582316878212,
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'~a', 'b'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,0.000119924545288086,0.0792257785797119,0.113473176956177,10,2,135.394813973192,
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'~a', 'b'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.79085540771484E-05,0.000103235244750977,0.0850944519042969,0.115538835525513,12,2,66.9329061935722,
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'~a', 'b'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.60012054443359E-05,9.96589660644531E-05,0.0768682956695557,0.112281799316406,7,2,128.772895840057,
