scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,
Nr of scenarios,96,Nr of infeasible trajectories,9,0.0938,Nr of repairable trajectories,64,0.7356,,,,,,
DEU_LocationALower-33_120_T-1,9,R_G1,bingo,"{'a', 'c'}",2,1,4.10079956054688E-05,0.213594913482666,0.060154914855957,0.314530849456787,8,2,
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,{'a'},6,5,2.6702880859375E-05,0.0185894966125488,0.0375871658325195,0.0785911083221436,5,1,
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,{'a'},15,14,1.9073486328125E-05,0.0356333255767822,0.0364549160003662,0.0839400291442871,9,1,
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,{'a'},13,12,2.76565551757812E-05,0.031287670135498,0.0406217575073242,0.0880804061889648,15,1,
DEU_LocationALower-33_46_T-1,17,R_G1,bingo,{'a'},2,1,2.74181365966797E-05,0.0147387981414795,0.0794370174407959,0.134756803512573,11,1,
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,{'a'},3,2,2.78949737548828E-05,0.0235228538513184,0.0822913646697998,0.14517879486084,10,1,
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,{'a'},12,11,2.14576721191406E-05,0.0294921398162842,0.0349678993225098,0.0811686515808106,7,1,
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,{'~c'},11,5,2.12192535400391E-05,0.128654479980469,0.0609371662139893,0.226600170135498,14,1,
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,{'a'},14,13,2.76565551757812E-05,0.0310854911804199,0.0455687046051025,0.0900731086730957,15,1,
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,{'a'},2,1,2.76565551757812E-05,0.0140647888183594,0.0939326286315918,0.14885401725769,16,1,
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,{'a'},5,4,2.81333923339844E-05,0.0234320163726807,0.0504002571105957,0.106598377227783,8,1,
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,{'a'},8,7,2.78949737548828E-05,0.0315937995910645,0.04111647605896,0.0974745750427246,9,1,
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,{'a'},5,4,2.78949737548828E-05,0.0239360332489014,0.0538301467895508,0.110150575637817,12,1,
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,{'a'},12,11,2.69412994384766E-05,0.030977725982666,0.040189266204834,0.0883841514587402,12,1,
DEU_LocationALower-36_123_T-1,15,R_G1,bingo,{'a'},7,6,2.45571136474609E-05,0.0327095985412598,0.057584285736084,0.117566823959351,13,1,
DEU_LocationALower-36_199_T-1,19,R_G1,bingo,{'a'},2,1,2.83718109130859E-05,0.0145385265350342,0.0816683769226074,0.139467477798462,11,1,
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,{'a'},3,2,2.74181365966797E-05,0.0150649547576904,0.0466277599334717,0.0800895690917969,16,1,
DEU_LocationALower-36_236_T-1,6,R_G1,bingo,{'a'},3,2,2.62260437011719E-05,0.012465238571167,0.0317866802215576,0.0608375072479248,5,1,
DEU_LocationALower-36_263_T-1,15,R_G1,bingo,"{'a', 'c'}",6,5,4.62532043457031E-05,0.311074495315552,0.0648388862609863,0.405373096466064,11,2,
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,{'a'},7,6,2.78949737548828E-05,0.0330557823181152,0.057645320892334,0.11707615852356,17,1,
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,{'a'},11,10,2.12192535400391E-05,0.0306875705718994,0.0451483726501465,0.0944993495941162,9,1,
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,{'a'},8,7,2.74181365966797E-05,0.03228759765625,0.0478084087371826,0.104764699935913,9,1,
DEU_LocationALower-37_121_T-1,16,R_G1,bingo,"{'a', 'c'}",5,4,4.41074371337891E-05,0.266286373138428,0.0456418991088867,0.343812704086304,10,2,
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,{'a'},15,14,2.24113464355469E-05,0.0369718074798584,0.0333385467529297,0.0826444625854492,10,1,
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,{'a'},5,4,2.33650207519531E-05,0.0230624675750732,0.0647594928741455,0.121171951293945,15,1,
DEU_LocationALower-37_240_T-1,8,R_G1,bingo,{'a'},3,2,2.12192535400391E-05,0.0252103805541992,0.0516288280487061,0.118704319000244,4,1,
DEU_LocationALower-11_102_T-1,16,R_G1,initial feasibility,,,,,,,0.127350855618715,0.0722485759531859,1.078125,1.078125
DEU_LocationALower-12_167_T-1,12,R_G1,initial feasibility,,,,,,,0.127350855618715,,,
DEU_LocationALower-13_82_T-1,17,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-14_96_T-1,15,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-27_184_T-1,13,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-31_258_T-1,12,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-35_34_T-1,19,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-37_235_T-1,8,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-37_4_T-1,22,R_G1,initial feasibility,,,,,,,,,,
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-11_56_T-1,15,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",14,13,7.22408294677734E-05,0.145042181015015,0.134416103363037,0.27953052520752,12,4,
DEU_LocationALower-12_52_T-1,26,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",7,6,6.72340393066406E-05,0.280714988708496,0.147705793380737,0.42848801612854,18,4,
DEU_LocationALower-13_167_T-1,17,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",8,7,7.58171081542969E-05,0.19136905670166,0.121341466903687,0.312786340713501,13,4,
DEU_LocationALower-13_241_T-1,20,R_G1,not repairable,"{'d', 'b', '~a', 'c'}",18,17,7.20024108886719E-05,0.149648666381836,0.0895140171051025,0.239234685897827,14,4,
