scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.221366882324219e-05,0.00012612342834472656,0.03969621658325195,0.06198596954345703,5,3
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.719329833984375e-05,0.00011515617370605469,0.07145953178405762,0.1008901596069336,10,2
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.00010156631469726562,0.07364416122436523,0.10503292083740234,9,2
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],3.886222839355469e-05,0.00010895729064941406,0.07014632225036621,0.09721922874450684,8,2
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.00010275840759277344,0.071319580078125,0.10152983665466309,8,2
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~j', '~n'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.6226043701171875e-05,0.00010037422180175781,0.08907079696655273,0.11985278129577637,9,1
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~j', '~n'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.7418136596679688e-05,9.512901306152344e-05,0.05688977241516113,0.08022403717041016,6,1
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~k', '~i', '~j', '~n'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.8133392333984375e-05,0.00012564659118652344,0.053743600845336914,0.08108162879943848,10,1
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,bingo,"{'b', '~a'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.3882598876953125e-05,0.00012445449829101562,0.04563498497009277,0.06792068481445312,7,2
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,bingo,"{'b', '~a'}",5,0,[<Maneuver.BRAKE: 'brake'>],4.1484832763671875e-05,0.00010657310485839844,0.04239344596862793,0.06433391571044922,7,2
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],4.982948303222656e-05,0.0001232624053955078,0.04040026664733887,0.06943488121032715,6,3
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'b', '~a'}",6,0,[<Maneuver.BRAKE: 'brake'>],4.100799560546875e-05,0.00011301040649414062,0.07754278182983398,0.11150860786437988,7,2
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'b', '~a', '~e'}",4,0,[<Maneuver.BRAKE: 'brake'>],5.316734313964844e-05,0.00013065338134765625,0.053682804107666016,0.07557296752929688,12,3
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.7670135498046875e-05,0.0001068115234375,0.07302236557006836,0.10621786117553711,7,2
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.6716461181640625e-05,0.00010752677917480469,0.0743408203125,0.10293865203857422,8,2
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.790855407714844e-05,0.00010466575622558594,0.07979917526245117,0.11100602149963379,7,2
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~n'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.9802322387695312e-05,0.00010347366333007812,0.06550741195678711,0.09038567543029785,10,1
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'b', '~a', '~e'}",5,0,[<Maneuver.BRAKE: 'brake'>],5.316734313964844e-05,0.00015544891357421875,0.04982137680053711,0.07314825057983398,6,3
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,"error/failed with Initial longitudinal velocity -0.02248440942671098 exceeds valid velocity interval [0, 50.8].","{'~a', '~b', 'd', '~e'}",7,0,[],6.890296936035156e-05,0.00017142295837402344,0.04612874984741211,0.046369075775146484,9,4
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],4.291534423828125e-05,0.00012636184692382812,0.07366037368774414,0.10664081573486328,7,2
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,9.679794311523438e-05,0.07148909568786621,0.1062774658203125,8,2
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,"error/failed with Initial longitudinal velocity -0.020442633336748107 exceeds valid velocity interval [0, 50.8].","{'~a', '~b', 'd', '~e'}",6,0,[],7.05718994140625e-05,0.00017189979553222656,0.0431215763092041,0.04336404800415039,7,4
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'b', '~a'}",10,0,[<Maneuver.BRAKE: 'brake'>],5.030632019042969e-05,0.00016999244689941406,0.06994318962097168,0.10102009773254395,11,2
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.9577484130859375e-05,0.00010442733764648438,0.07771801948547363,0.10971570014953613,9,2
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],3.743171691894531e-05,0.00010585784912109375,0.07326793670654297,0.10661673545837402,7,2
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'b', '~a'}",7,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.00010800361633300781,0.07645559310913086,0.1083064079284668,8,2
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~j', '~n'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.5510787963867188e-05,9.632110595703125e-05,0.04831409454345703,0.07172274589538574,10,1
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~o', '~d'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.0517578125e-05,0.00013494491577148438,0.09656929969787598,0.12634730339050293,21,1
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'b', '~a'}",8,0,[<Maneuver.BRAKE: 'brake'>],4.0531158447265625e-05,0.00013899803161621094,0.0804905891418457,0.1136775016784668,11,2
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'b', '~a', '~e'}",8,0,[<Maneuver.BRAKE: 'brake'>],5.173683166503906e-05,0.00015974044799804688,0.04544639587402344,0.06923794746398926,9,3
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'b', '~a'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375e-05,9.989738464355469e-05,0.07586979866027832,0.11078763008117676,7,2
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'b', '~a'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.981590270996094e-05,0.00012946128845214844,0.08280754089355469,0.11737489700317383,10,2
