scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'~a', '~e', 'b'}",4,3,4.00543212890625E-05,0.0189681053161621,0.0275571346282959,0.0840654373168945
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'~a', 'b'}",6,3,3.24249267578125E-05,0.0288689136505127,0.0378825664520264,0.0882940292358398
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~a', '~e', 'b'}",4,3,3.60012054443359E-05,0.0248486995697021,0.03200364112854,0.0923213958740234
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'~a', 'b'}",7,3,2.36034393310547E-05,0.0347630977630615,0.0408055782318115,0.0987381935119629
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'~a', 'b'}",11,3,2.50339508056641E-05,0.0352456569671631,0.0370368957519531,0.108437776565552
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~a', 'b'}",7,3,2.43186950683594E-05,0.0355484485626221,0.0398423671722412,0.119997024536133
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~n'}",6,3,1.71661376953125E-05,0.0680832862854004,0.0445361137390137,0.148488283157349
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'~a', '~e', 'b'}",5,4,3.45706939697266E-05,0.0208735466003418,0.0288650989532471,0.0678017139434814
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,bingo,"{'~a', '~e', 'b'}",7,4,4.05311584472656E-05,0.0319204330444336,0.0264630317687988,0.0754914283752441
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,bingo,"{'~a', 'b'}",8,4,2.38418579101562E-05,0.0307486057281494,0.0312020778656006,0.0814552307128906
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', 'b'}",8,4,2.43186950683594E-05,0.0328662395477295,0.0326380729675293,0.0842225551605225
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,bingo,"{'~a', '~e', 'b'}",6,4,3.62396240234375E-05,0.0396726131439209,0.0279045104980469,0.0851006507873535
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', 'b'}",10,4,2.59876251220703E-05,0.0364623069763184,0.0358028411865234,0.0921661853790283
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,4,2.62260437011719E-05,0.0330371856689453,0.0412542819976807,0.094792366027832
