scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk
Nr of scenarios,96,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,87,0.9062,,,,,,
DEU_LocationALower-27_140_T-1,14,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.19480895996094E-05,0.000121116638183594,0.148302555084229,0.192715883255005,16,1,168.342935600043
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",16,0,3.93390655517578E-05,0.000120878219604492,0.146390199661255,0.201442718505859,9,1,164.720860152329
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",4,0,3.38554382324219E-05,0.0001373291015625,0.188021898269653,0.235667943954468,16,1,166.904161956621
DEU_LocationALower-28_109_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.33786010742187E-05,0.000136613845825195,0.157154321670532,0.202448844909668,16,1,166.652082988942
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",16,0,3.31401824951172E-05,0.000119447708129883,0.103081703186035,0.157167196273804,7,1,158.481940804571
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.31401824951172E-05,0.000118732452392578,0.151914119720459,0.200655221939087,12,1,171.434652164754
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",5,0,3.31401824951172E-05,0.00012516975402832,0.12033486366272,0.174253702163696,12,1,168.993739107417
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,3.36170196533203E-05,0.000114679336547852,0.144965171813965,0.192568063735962,11,1,151.76909131613
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",7,0,3.4332275390625E-05,0.00012516975402832,0.0718846321105957,0.103648662567139,11,1,122.772172771905
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'a', 'd', '~g', 'c', 'b'}",8,0,3.67164611816406E-05,0.000155925750732422,0.0901916027069092,0.14369797706604,6,1,73.5123273382378
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",8,0,3.19480895996094E-05,0.000121593475341797,0.170477390289307,0.221765756607056,7,1,169.360705666708
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",3,0,3.26633453369141E-05,0.000125885009765625,0.169641971588135,0.218326568603516,17,1,166.15849086589
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",9,0,2.93254852294922E-05,0.000139713287353516,0.189837455749512,0.239965915679932,15,1,178.115250472603
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.83853912353516E-05,0.000189781188964844,0.14274001121521,0.195059776306152,12,1,176.752020354851
DEU_LocationALower-29_70_T-1,11,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",2,0,3.71932983398437E-05,0.000163793563842773,0.169288873672485,0.219240427017212,12,1,173.514436811588
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",5,0,3.48091125488281E-05,0.000161170959472656,0.161566495895386,0.208576440811157,12,1,166.940407101146
DEU_LocationALower-30_46_T-1,16,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",5,0,3.24249267578125E-05,0.000130653381347656,0.165095090866089,0.210050106048584,19,1,170.322261578845
DEU_LocationALower-31_154_T-1,9,R_G1,bingo,"{'a', 'd', 'e', 'c', 'b'}",10,0,3.31401824951172E-05,0.000136137008666992,0.0775971412658691,0.112893581390381,12,1,112.624265108249
