scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,bingo,"{'~e', 'b', '~a'}",6,2,[<Maneuver.BRAKE: 'brake'>],3.337860107421875e-05,0.03421664237976074,0.04744291305541992,0.1217498779296875,9
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,bingo,"{'~e', 'b', '~a'}",6,2,[<Maneuver.BRAKE: 'brake'>],4.267692565917969e-05,0.03705334663391113,0.046607017517089844,0.10463690757751465,8
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,bingo,"{'~e', 'b', '~a'}",7,2,[<Maneuver.BRAKE: 'brake'>],3.790855407714844e-05,0.03683876991271973,0.05187630653381348,0.11140847206115723,8
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,initialization fails with x and/or y coordinate outside of projection domain,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~d', '~j', '~e', '~f', '~n'}",9,2,[<Maneuver.BRAKE: 'brake'>],2.7179718017578125e-05,0.0814056396484375,0.04913949966430664,0.15045714378356934,6
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~k', 'n', '~d', '~e', '~g', '~h', '~i', '~a', '~j', '~b', '~o', '~f'}",4,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.76837158203125e-05,0.1385059356689453,0.04412198066711426,0.22365880012512207,10
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],4.029273986816406e-05,0.02100825309753418,0.029887676239013672,0.06907176971435547,7
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,bingo,"{'b', '~a'}",5,3,[<Maneuver.BRAKE: 'brake'>],2.765655517578125e-05,0.030121326446533203,0.02956366539001465,0.09489059448242188,7
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],4.696846008300781e-05,0.018012523651123047,0.02982807159423828,0.08668231964111328,6
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'~e', 'b', '~a'}",6,3,[<Maneuver.BRAKE: 'brake'>],4.00543212890625e-05,0.028272390365600586,0.03964352607727051,0.0885474681854248,7
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],3.361701965332031e-05,0.025821208953857422,0.03495025634765625,0.09842848777770996,12
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,"initialization fails with Polyline malformed for pathlength computation p=[[ 78.8268 -56.6263]
 [ 78.2625 -55.9148]]",N/A,N/A,N/A,N/A,N/A,N/A,N/A
