scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_12700_T-719,10035,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,timeout,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
