Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,bingo,"{'~a', 'b'}",5,4,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,0.0231959819793701,0.0391080379486084,0.0807178020477295,7,2,13.811401802131,
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,bingo,"{'~a', 'b', '~e'}",4,1,[<Maneuver.BRAKE: 'brake'>],4.91142272949219E-05,0.0230846405029297,0.0398795604705811,0.0840165615081787,6,3,19.1242951255018,
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'~a', 'b'}",6,4,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,0.0298895835876465,0.0420205593109131,0.0922942161560059,7,2,150.299459395444,
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~a', 'b', '~e'}",4,3,[<Maneuver.BRAKE: 'brake'>],5.05447387695313E-05,0.0280084609985352,0.0524792671203613,0.0999722480773926,12,3,10.3337351682306,
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'~a', 'b'}",7,3,[<Maneuver.BRAKE: 'brake'>],3.62396240234375E-05,0.0335688591003418,0.0546486377716064,0.113011360168457,7,2,147.68464835325,
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'~a', 'b'}",11,3,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0410459041595459,0.0563364028930664,0.119467496871948,8,2,34.1248293014397,
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~a', 'b'}",7,3,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0338108539581299,0.0578601360321045,0.115301609039307,7,2,80.5423972437171,
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'~a', 'b', '~e'}",5,4,[<Maneuver.BRAKE: 'brake'>],5.38825988769531E-05,0.021824836730957,0.0399825572967529,0.0814452171325684,6,3,51.4988023390804,
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,bingo,"{'~a', 'b', '~e'}",7,4,[<Maneuver.BRAKE: 'brake'>],5.22136688232422E-05,0.0367588996887207,0.0424008369445801,0.0973236560821533,9,3,17.6194972593511,
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,bingo,"{'~a', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0338354110717773,0.0463483333587647,0.10121750831604,7,2,134.826556942803,
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],3.45706939697266E-05,0.0357341766357422,0.0490765571594238,0.105268239974976,8,2,57.6722835657819,
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,bingo,"{'~a', 'b', '~e'}",6,5,[<Maneuver.BRAKE: 'brake'>],4.79221343994141E-05,0.0260069370269775,0.0374469757080078,0.081791877746582,7,3,19.807410726278,
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', 'b'}",10,7,[<Maneuver.BRAKE: 'brake'>],3.50475311279297E-05,0.031113862991333,0.0407826900482178,0.0890123844146729,11,2,40.8564925495724,
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,6,[<Maneuver.BRAKE: 'brake'>],4.24385070800781E-05,0.0331916809082031,0.0440468788146973,0.0953118801116943,9,2,102.513364431205,
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'~a', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],3.86238098144531E-05,0.0350489616394043,0.0550081729888916,0.113801240921021,7,2,151.94204687825,
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'~a', 'b'}",7,4,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0364551544189453,0.0518231391906738,0.110467910766602,8,2,118.10560398947,
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'~a', 'b'}",8,5,[<Maneuver.BRAKE: 'brake'>],4.24385070800781E-05,0.0360283851623535,0.0480914115905762,0.104350805282593,11,2,131.574575059355,
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'~a', 'b', '~e'}",8,5,[<Maneuver.BRAKE: 'brake'>],4.86373901367188E-05,0.0377552509307861,0.0409922599792481,0.0964920520782471,9,3,24.2932658897376,
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'~a', 'b'}",9,5,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.0446085929870606,0.0545413494110107,0.12112283706665,7,2,140.259154719114,
