scenario_id,scenario_path,ego_id,rule,repeat,num_steps,mode,lin2025_replanable,planner_returned,monitor_compliant,success,setup_time,planning_time,core_total_time,validation_time,fixed_other_id,updated_tv,error,rule_candidates_checked,rule_candidate_limit,in1_strategy
DEU_LocationALower-14_161_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_161_T-1.xml,21,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7163841090005008,0.11832758400123566,0.11832758400123566,0.16207329299868434,19,inf,,1,0,paper_example
DEU_LocationALower-14_219_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_219_T-1.xml,12,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7672602640013793,0.1378603839984862,0.1378603839984862,0.18155455799933407,11,inf,,1,0,paper_example
DEU_LocationALower-14_247_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_247_T-1.xml,16,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7877959130019008,0.12330512300104601,0.12330512300104601,0.175227661999088,15,inf,,1,0,paper_example
DEU_LocationALower-14_252_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_252_T-1.xml,12,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7319055250009114,0.14784314099961193,0.14784314099961193,0.25566539500141516,10,inf,,1,0,paper_example
DEU_LocationALower-14_39_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_39_T-1.xml,15,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7728304509982991,0.12484259199845837,0.12484259199845837,0.1898591880017193,11,inf,,1,0,paper_example
DEU_LocationALower-14_96_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_96_T-1.xml,15,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7707206699997187,0.1283649550023256,0.1283649550023256,0.18800145000204793,11,inf,,1,0,paper_example
DEU_LocationALower-25_155_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-25_155_T-1.xml,15,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.8105607340003189,0.11437614999886137,0.11437614999886137,0.19998004299850436,14,inf,,1,0,paper_example
DEU_LocationALower-27_140_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-27_140_T-1.xml,14,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7898657240002649,0.23560275999989244,0.23560275999989244,0.20711579699855065,13,inf,,31,0,paper_example
DEU_LocationALower-27_184_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-27_184_T-1.xml,13,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.7940432039977168,0.13824269999895478,0.13824269999895478,0.2133054699988861,11,inf,,1,0,paper_example
DEU_LocationALower-28_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_109_T-1.xml,13,R_G1_R_G3,0,20,rule_filtered,True,True,True,True,0.8379182329990726,0.14038332999916747,0.14038332999916747,0.23048075900078402,12,inf,,1,0,paper_example
