scenario_id,scenario_path,ego_id,rule,repeat,num_steps,mode,lin2025_replanable,planner_returned,monitor_compliant,success,setup_time,planning_time,core_total_time,validation_time,fixed_other_id,updated_tv,error,rule_candidates_checked,rule_candidate_limit,in1_strategy
DEU_LocationALower-14_219_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_219_T-1.xml,12,R_G3,0,20,rule_filtered,True,True,True,True,1.0505525900007342,0.20490773399797035,0.20490773399797035,0.1608159950010304,,inf,,1,0,paper_batch
DEU_LocationALower-14_247_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_247_T-1.xml,16,R_G3,0,20,rule_filtered,True,True,True,True,1.0491459749973728,0.22268832600093447,0.22268832600093447,0.19158450499890023,,inf,,1,0,paper_batch
DEU_LocationALower-14_252_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_252_T-1.xml,12,R_G3,0,20,rule_filtered,True,True,True,True,1.08206393099681,0.21818137399895932,0.21818137399895932,0.16101533899927745,,inf,,1,0,paper_batch
DEU_LocationALower-14_255_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_255_T-1.xml,11,R_G3,0,20,rule_filtered,True,True,True,True,1.1571037899993826,0.21976549299870385,0.21976549299870385,0.19960754699786776,,inf,,1,0,paper_batch
DEU_LocationALower-14_39_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_39_T-1.xml,15,R_G3,0,20,rule_filtered,True,True,True,True,1.2622947020026913,0.20027906199902645,0.20027906199902645,0.1796263469987025,,inf,,1,0,paper_batch
DEU_LocationALower-14_96_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-14_96_T-1.xml,15,R_G3,0,20,rule_filtered,True,True,True,True,1.0763127989994246,0.17011077600182034,0.17011077600182034,0.16240093300075387,,inf,,1,0,paper_batch
DEU_LocationALower-25_155_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-25_155_T-1.xml,15,R_G3,0,20,rule_filtered,True,True,True,True,1.0098280950005574,0.16913248800119618,0.16913248800119618,0.17640777199994773,,inf,,1,0,paper_batch
DEU_LocationALower-27_140_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-27_140_T-1.xml,14,R_G3,0,20,rule_filtered,True,True,True,True,1.0021458070004883,0.19400179500007653,0.19400179500007653,0.30883754800015595,,inf,,1,0,paper_batch
DEU_LocationALower-27_184_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-27_184_T-1.xml,13,R_G3,0,20,rule_filtered,True,True,True,True,1.0932443940000667,0.1907869259994186,0.1907869259994186,0.18799897099961527,,inf,,1,0,paper_batch
DEU_LocationALower-28_109_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-28_109_T-1.xml,13,R_G3,0,20,rule_filtered,True,True,True,True,1.0983721320008044,0.20590456799982348,0.20590456799982348,0.1921131079980114,,inf,,1,0,paper_batch
