DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN1,no,0.600800514221191,
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,no,0.616953849792481,
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,no,0.667552947998047,
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,no,0.671172142028809,
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,no,0.734679698944092,
DEU_AachenBendplatz-1_162800_T-2819,10214,R_IN1,no,0.795966625213623,
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,no,1.03723931312561,
DEU_AachenBendplatz-1_134900_T-4919,10351,R_IN1,no,1.03825950622559,
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,no,1.15282297134399,
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,no,1.38030338287354,
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,no,1.81257700920105,
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,no,1.85785126686096,
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,no,1.94335293769836,
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,no,2.05276989936829,
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,no,2.06570339202881,
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,no,2.20695781707764,
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,no,2.39406037330627,
DEU_AachenBendplatz-1_75140_T-5159,10203,R_IN1,no,2.50187659263611,
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,no,3.09488034248352,
DEU_AachenBendplatz-1_124700_T-4719,10320,R_IN1,no,3.11508989334106,
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,no,3.26825785636902,
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,no,3.68341374397278,
DEU_AachenBendplatz-1_171600_T-1619,10125,R_IN1,no,3.9117534160614,
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,no,4.23778343200684,
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,no,4.70888137817383,
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,no,4.75922298431397,
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,no,4.92630863189697,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,no,5.13141560554504,
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,no,6.85145568847656,
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,yes,0.122593402862549,
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,yes,0.123604297637939,
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,yes,0.124797105789185,
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,yes,0.128598213195801,
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,yes,0.133501529693604,
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,yes,0.145728826522827,
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,yes,0.147520303726196,
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,yes,0.148046493530273,
DEU_AachenBendplatz-1_1720_T-39,10013,R_IN1,yes,0.148179054260254,
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,yes,0.149741172790527,
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,yes,0.152744054794312,
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,yes,0.154625415802002,
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,yes,0.160316944122314,
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,yes,0.164401531219482,
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,yes,0.164509534835815,
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,yes,0.167449235916138,
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,yes,0.170046329498291,
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,yes,0.170253038406372,
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,yes,0.174856662750244,
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,yes,0.187371969223022,
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,yes,0.193490505218506,0.670454545454545
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,yes,0.194612741470337,
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,yes,0.195111751556396,
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,yes,0.198283910751343,
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,yes,0.199370861053467,
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,yes,0.200551271438599,
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,yes,0.215503454208374,
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,yes,0.219748735427856,
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,yes,0.227446794509888,
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,yes,0.231579542160034,
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,yes,0.232369422912598,
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,yes,0.240263223648071,
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,yes,0.247688770294189,
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,yes,0.25792407989502,
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,yes,0.267980098724365,
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,yes,0.270045757293701,
