rule,cases,success,accuracy,mean_core_time,median_core_time,p95_core_time,max_core_time,mean_binary_variables,mean_constraints,raw_csv
R_G1,100,98,0.980000,0.852,0.877,0.936,1.347,355.8,2170.7,lin2025_standard_full_2026-09-04/rg1.csv
R_G1_R_G3,87,84,0.965517,1.650,1.688,1.809,1.845,707.5,3557.1,lin2025_standard_full_2026-09-04/rg1_rg3.csv
R_G2,69,16,0.231884,0.807,1.149,1.478,1.584,322.7,1969.0,lin2025_standard_full_2026-09-04/rg2.csv
R_G3,100,100,1.000000,0.848,0.861,0.908,0.934,350.0,2247.3,lin2025_standard_full_2026-09-04/rg3.csv
R_IN1,16,0,0.000000,0.431,0.430,0.503,0.503,168.8,1405.2,lin2025_exact_in_full_2026-09-04/in1.csv
R_IN3,85,42,0.494118,1.344,1.253,1.560,2.986,696.8,3179.1,lin2025_exact_in_full_2026-09-04/in3.csv
R_IN4,24,10,0.416667,1.393,1.388,1.612,1.632,653.4,2974.2,lin2025_exact_in_full_2026-09-04/in4.csv
R_IN5,29,12,0.413793,1.381,1.386,1.496,1.527,663.5,3019.1,lin2025_exact_in_full_2026-09-04/in5.csv
ALL,510,362,0.709804,1.103,1.112,,,,,
