scenario_id,ego_id,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_LocationALower-11_102_T-1,16,domain_dpll,True,1,9,0,inf,0,0.00178647041320801,3.4332275390625E-05,0.000316381454467773,0.000351190567016602,0.00200843811035156,0.000309228897094727,0,0.0048060417175293,1.55997562408447,
DEU_LocationALower-11_110_T-1,16,domain_dpll,True,1,2,0,inf,0,0.00191330909729004,3.60012054443359E-05,0.000311851501464844,0.00034332275390625,0.00324463844299316,0.0002288818359375,0,0.00607800483703613,1.72194075584412,
DEU_LocationALower-11_131_T-1,18,domain_dpll,True,1,9,0,inf,0,0.00186061859130859,3.86238098144531E-05,0.000371694564819336,0.000360012054443359,0.00263309478759766,0.000286579132080078,0,0.00555062294006348,1.71937274932861,
DEU_LocationALower-11_4_T-1,18,domain_dpll,True,1,1,0,inf,0,0.00175023078918457,3.55243682861328E-05,0.000307798385620117,0.000342845916748047,0.00197649002075195,0.000287294387817383,0,0.0047001838684082,1.62511587142944,
DEU_LocationALower-11_43_T-1,17,domain_dpll,True,2,2,0,inf,0,0.00192856788635254,7.00950622558594E-05,0.000330924987792969,0.000380277633666992,0.00202274322509766,0.00029444694519043,0,0.00502705574035645,1.61660265922546,
DEU_LocationALower-11_56_T-1,15,domain_dpll,True,1,1,0,inf,0,0.00199604034423828,4.05311584472656E-05,0.000356674194335938,0.000395298004150391,0.00220990180969238,0.000302314758300781,0,0.00530076026916504,1.57548356056213,
DEU_LocationALower-11_64_T-1,18,domain_dpll,True,1,15,0,inf,0,0.00186419486999512,4.10079956054688E-05,0.000336885452270508,0.000402688980102539,0.00212979316711426,0.000241756439208984,0,0.00501632690429688,1.61476230621338,
DEU_LocationALower-12_109_T-1,20,domain_dpll,True,1,8,0,inf,0,0.00187516212463379,4.05311584472656E-05,0.000340700149536133,0.000360012054443359,0.00198841094970703,0.000216484069824219,0,0.0048213005065918,1.68159151077271,
DEU_LocationALower-12_167_T-1,12,domain_dpll,True,2,1,0,inf,0,0.00211429595947266,7.70092010498047E-05,0.000368118286132813,0.000423431396484375,0.00287938117980957,0.000245809555053711,0,0.00610804557800293,1.63967490196228,
DEU_LocationALower-12_217_T-1,14,domain_dpll,True,1,6,0,inf,0,0.00190067291259766,4.26769256591797E-05,0.000342845916748047,0.0003814697265625,0.0028834342956543,0.000462532043457031,0,0.00601363182067871,1.64983296394348,
DEU_LocationALower-12_52_T-1,26,domain_dpll,True,1,7,0,inf,0,0.00203895568847656,5.10215759277344E-05,0.000426054000854492,0.000400781631469727,0.00284504890441895,0.000319719314575195,0,0.00608158111572266,1.83053660392761,
DEU_LocationALower-13_162_T-1,21,domain_dpll,True,1,10,0,inf,0,0.00191044807434082,4.10079956054688E-05,0.000334501266479492,0.000366926193237305,0.00261545181274414,0.000351667404174805,0,0.00562000274658203,1.62260818481445,
