scenario_id,ego_id,rule,replanability,total_time,num_obstacles
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,yes,0.25792407989502,0.02
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,yes,0.451460123062134,0.02
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,yes,0.353046894073486,0.04
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,yes,0.593192338943481,0.04
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,yes,0.174856662750244,0.05
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,yes,1.23242235183716,0.05
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,yes,0.345046997070312,0.05
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,yes,1.63859486579895,0.05
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,yes,0.122593402862549,0.06
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,yes,0.247688770294189,0.06
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,yes,0.332328796386719,0.06
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,yes,0.167449235916138,0.07
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,yes,2.24840617179871,0.07
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,yes,0.199370861053467,0.08
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,yes,0.187371969223022,0.09
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,yes,0.219748735427856,0.1
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,yes,0.227446794509888,0.1
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,yes,0.148046493530273,0.11
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,yes,0.128598213195801,0.13
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,yes,0.200551271438599,0.13
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,yes,0.336037397384644,0.15
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,yes,0.306941270828247,0.16
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,yes,0.311635494232178,0.19
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,yes,0.154625415802002,0.2
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,yes,0.296700239181519,0.2
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,yes,0.540327548980713,0.22
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,yes,0.123604297637939,0.23
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,yes,0.198283910751343,0.25
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,yes,0.67463755607605,0.28
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,yes,0.170253038406372,0.3
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,yes,0.629797697067261,0.3
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,yes,0.231579542160034,0.33
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,yes,0.195111751556396,0.35
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,yes,0.315860271453857,0.38
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,yes,0.215503454208374,0.39
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,yes,0.124797105789185,0.43
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,yes,0.149741172790527,0.46
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,yes,0.480538368225098,0.63
DEU_AachenBendplatz-1_92340_T-2359,10140,R_IN4,yes,0.191715955734253,0.66
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,yes,1.25723576545715,0.67
DEU_AachenBendplatz-1_121860_T-1879,10102,R_IN4,yes,0.826007604598999,0.99
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,yes,0.170046329498291,1.25
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,yes,0.147520303726196,1.31
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,yes,0.133501529693604,1.33
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,yes,0.331265211105347,1.91
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,yes,0.270045757293701,1.92
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,yes,0.288328886032104,1.99
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,yes,0.375632524490356,3.68
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,yes,0.160316944122314,3.78
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,yes,1.58020782470703,3.79
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,yes,0.28546929359436,3.9
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,yes,0.193490505218506,4.34
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,yes,0.232369422912598,6.58
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,yes,0.36301851272583,9.16
