scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,num_obstacles
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.14576721191406E-05,0.0287272930145264,0.087881326675415,0.15179967880249,20,6.36
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,,2.21729278564453E-05,0.0265500545501709,0.0762622356414795,0.154153347015381,16,6.43
DEU_LocationALower-28_252_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.26497650146484E-05,0.0265567302703857,0.0674705505371094,0.14823842048645,12,6.71
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",16,15,,2.45571136474609E-05,0.0436017513275147,0.0255944728851318,0.0802237987518311,7,6.77
DEU_LocationALower-14_252_T-1,12,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,2.21729278564453E-05,0.0355198383331299,0.0338385105133057,0.110915422439575,10,6.95
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,,2.57492065429687E-05,0.0430934429168701,0.0270540714263916,0.0823836326599121,7,7
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,,2.45571136474609E-05,0.0264480113983154,0.0531857013702393,0.131257057189941,15,7.14
DEU_LocationALower-25_155_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,2.24113464355469E-05,0.0360941886901855,0.0410957336425781,0.118099451065063,12,7.31
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",10,9,,2.43186950683594E-05,0.0654013156890869,0.0373170375823975,0.139200687408447,14,7.42
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,,2.57492065429687E-05,0.0352981090545654,0.0331172943115234,0.0873210430145264,9,7.48
DEU_LocationALower-36_113_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",9,8,,2.52723693847656E-05,0.0364770889282227,0.0367519855499268,0.0954668521881104,12,7.49
DEU_LocationALower-32_84_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",8,7,,1.93119049072266E-05,0.0353822708129883,0.0398564338684082,0.0983326435089111,7,7.6
DEU_LocationALower-14_161_T-1,21,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,,2.36034393310547E-05,0.025867223739624,0.0576004981994629,0.110982179641724,17,7.88
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,,2.21729278564453E-05,0.0262923240661621,0.0711212158203125,0.13172721862793,7,7.94
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",10,9,,2.95639038085937E-05,0.0367147922515869,0.036374568939209,0.111615657806396,15,8.18
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,,2.21729278564453E-05,0.0433125495910645,0.0318458080291748,0.106271982192993,15,8.3
