scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,ttc
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~e', 'b', '~a'}",4,3,[<Maneuver.BRAKE: 'brake'>],3.36170196533203E-05,0.0258212089538574,0.0349502563476562,0.09842848777771,12,0.31
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,bingo,"{'~e', 'b', '~a'}",11,3,[<Maneuver.BRAKE: 'brake'>],3.91006469726562E-05,0.0365896224975586,0.0416607856750488,0.0977745056152344,8,58.23
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~e', 'b', '~a'}",7,3,[<Maneuver.BRAKE: 'brake'>],3.88622283935547E-05,0.033869743347168,0.0450596809387207,0.116523504257202,7,0.07
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,bingo,"{'~a', '~e', 'b'}",5,4,[<Maneuver.BRAKE: 'brake'>],6.67572021484375E-05,0.0196735858917236,0.0267400741577148,0.0680158138275147,6,2.74
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', '~e', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],5.05447387695313E-05,0.0329768657684326,0.0311460494995117,0.082848072052002,8,0.04
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', '~e', 'b'}",10,4,[<Maneuver.BRAKE: 'brake'>],4.17232513427734E-05,0.0349302291870117,0.0328347682952881,0.0868549346923828,11,0.26
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],2.31266021728516E-05,0.03070068359375,0.0331175327301025,0.101220607757568,9,0.04
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'~a', '~e', 'b'}",8,4,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.0318655967712402,0.0362827777862549,0.107389211654663,7,0.1
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'~a', '~e', 'b'}",7,4,[<Maneuver.BRAKE: 'brake'>],3.33786010742187E-05,0.0343801975250244,0.0354142189025879,0.10718846321106,8,0.3
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'~a', 'b'}",8,5,[<Maneuver.BRAKE: 'brake'>],2.26497650146484E-05,0.0328114032745361,0.0318942070007324,0.10134220123291,11,1.33
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'~a', '~e', 'b'}",8,5,[<Maneuver.BRAKE: 'brake'>],3.38554382324219E-05,0.0364646911621094,0.0268294811248779,0.0801889896392822,9,7.49
