scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,bingo,"{'b', '~e', '~a'}",6,4,4.00543212890625e-05,0.0348596572875977,0.0274105072021484,0.079190731048584,0.09
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'b', '~a'}",10,4,2.43186950683594e-05,0.0343246459960937,0.0369367599487305,0.0905327796936035,0.26
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'b', '~a'}",8,4,3.00407409667969e-05,0.0308246612548828,0.038048267364502,0.0887236595153809,0.04
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'b', '~a'}",8,4,2.45571136474609e-05,0.0315945148468018,0.0411412715911865,0.0969257354736328,0.1
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'b', '~a'}",7,4,2.62260437011719e-05,0.0346996784210205,0.0446319580078125,0.101090431213379,0.3
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'b', '~a'}",8,5,2.93254852294922e-05,0.0349178314208984,0.0363800525665283,0.0902678966522217,1.33
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'b', '~e', '~a'}",8,5,3.79085540771484e-05,0.0403783321380615,0.0328612327575684,0.0918354988098145,7.49
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'b', '~a'}",9,5,3.02791595458984e-05,0.0449168682098389,0.0530438423156738,0.119803667068481,0.28
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'b', '~a'}",9,5,2.6702880859375e-05,0.04416823387146,0.0406205654144287,0.117714881896973,1.91
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,bingo,"{'b', '~a'}",10,6,2.50339508056641e-05,0.0384223461151123,0.0338740348815918,0.0893247127532959,0.19
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'b', '~a'}",10,6,2.43186950683594e-05,0.0437359809875488,0.0376839637756348,0.0988733768463135,0.04
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,bingo,"{'b', '~a'}",11,7,2.50339508056641e-05,0.0304391384124756,0.033078670501709,0.0822198390960693,0.06
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'b', '~a'}",11,7,6.46114349365234e-05,0.0288736820220947,0.0354385375976562,0.0810461044311523,0.1
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,bingo,"{'b', '~a'}",8,7,2.43186950683594e-05,0.0281732082366943,0.0683636665344238,0.110892772674561,0.31
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,bingo,"{'b', '~a'}",11,7,3.71932983398437e-05,0.0329148769378662,0.0300114154815674,0.0797502994537354,0.02
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'b', '~a'}",10,7,2.38418579101562e-05,0.0301117897033691,0.05216383934021,0.109717130661011,0.08
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'b', '~a'}",11,7,2.52723693847656e-05,0.0317811965942383,0.0316188335418701,0.0882954597473145,0.02
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'b', '~a'}",11,7,3.00407409667969e-05,0.0294923782348633,0.0334634780883789,0.0793886184692383,0.13
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'b', '~a'}",12,8,2.64644622802734e-05,0.0303313732147217,0.0292174816131592,0.0744047164916992,0.13
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'b', '~a'}",12,8,2.88486480712891e-05,0.0279548168182373,0.0320930480957031,0.0753309726715088,0.35
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'b', '~a'}",11,8,2.55107879638672e-05,0.0395398139953613,0.0308628082275391,0.0850160121917725,0.43
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'b', '~a'}",11,8,2.57492065429687e-05,0.0395679473876953,0.0535788536071777,0.10780668258667,0.09
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'b', '~a'}",13,8,3.07559967041016e-05,0.0375940799713135,0.0334408283233643,0.0864014625549316,0.05
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'b', '~a'}",12,8,2.55107879638672e-05,0.0373828411102295,0.0308084487915039,0.0836067199707031,0.2
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'b', '~a'}",12,8,3.36170196533203e-05,0.0341498851776123,0.0336363315582275,0.0865902900695801,0.06
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'b', '~a'}",13,8,3.14712524414062e-05,0.0429136753082275,0.0455296039581299,0.104129552841187,0.07
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'b', '~a'}",12,9,3.62396240234375e-05,0.0393970012664795,0.0286457538604736,0.0877535343170166,0.16
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'b', '~a'}",14,9,3.02791595458984e-05,0.0392224788665771,0.0597000122070313,0.114351511001587,0.15
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'b', '~a'}",13,9,2.88486480712891e-05,0.0462861061096191,0.0341949462890625,0.0942275524139404,0.05
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,bingo,"{'b', '~a'}",10,9,3.24249267578125e-05,0.0326015949249268,0.0296242237091064,0.0734691619873047,3.62
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'b', '~a'}",13,9,3.14712524414062e-05,0.0415797233581543,0.0619311332702637,0.117871522903442,0.22
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'b', '~a'}",14,10,2.78949737548828e-05,0.0381264686584473,0.0290663242340088,0.0905961990356445,1.31
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'b', '~a'}",13,10,2.6702880859375e-05,0.0377762317657471,0.0306711196899414,0.0829486846923828,0.46
