scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_LocationALower-28_109_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.26497650146484e-05,0.0347208976745605,0.0767068862915039,0.143614292144775,6.43
DEU_LocationALower-28_252_T-1,18,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.86238098144531e-05,0.034109354019165,0.0468330383300781,0.128628253936768,6.22
DEU_LocationALower-29_123_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.14576721191406e-05,0.0435829162597656,0.035377025604248,0.120463848114014,4.78
DEU_LocationALower-29_192_T-1,9,R_G1,bingo,"{'e', 'g', '~c', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>, <Maneuver.STEERLEFT: 'steer to the left'>, <Maneuver.STEERRIGHT: 'steer to the right'>]",2.07424163818359e-05,0.0779533386230469,0.0348734855651855,0.156496524810791,9.37
DEU_LocationALower-29_245_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.07424163818359e-05,0.0448760986328125,0.0390596389770508,0.126925706863403,4.87
DEU_LocationALower-29_249_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422e-05,0.0352816581726074,0.0788161754608154,0.1495201587677,14.48
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",9,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422e-05,0.0451886653900147,0.0411186218261719,0.124812126159668,3.4
DEU_LocationALower-29_65_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.16960906982422e-05,0.0236420631408691,0.0597171783447266,0.123072624206543,8.31
DEU_LocationALower-30_218_T-1,16,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.035754919052124,0.0514762401580811,0.135444402694702,9.12
DEU_LocationALower-31_31_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.9073486328125e-05,0.0341541767120361,0.0704710483551025,0.13919472694397,7.94
