scenario_id,ego_id,sat_solver_mode,repairer_type,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-46_41_T-2,13,domain_dpll,vp,True,1,1,0,inf,1,3.218650817871094e-05,1.6689300537109375e-05,6.175041198730469e-05,0.00035381317138671875,0.004513740539550781,0.00029087066650390625,0.0,0.0,0.0,0.0,0.005269050598144531,1.145402193069458,
DEU_LocationALower-46_41_T-2,13,domain_dpll,smt,True,2,1,0,0.4,0,0.0,3.123283386230469e-05,0.0,0.0,0.0,0.0,0.0,0.004088878631591797,0.0024535655975341797,0.10407686233520508,0.11065053939819336,1.3541314601898193,
DEU_LocationAUpper-36_8_T-2,10,domain_dpll,vp,True,1,1,0,inf,1,2.9802322387695312e-05,1.4543533325195312e-05,5.817413330078125e-05,0.0003533363342285156,0.04034161567687988,0.0002963542938232422,0.0,0.0,0.0,0.0,0.04109382629394531,1.2042009830474854,
DEU_LocationAUpper-36_8_T-2,10,domain_dpll,smt,True,2,1,0,0.4,0,0.0,3.2901763916015625e-05,0.0,0.0,0.0,0.0,0.0,0.003813028335571289,0.0019884109497070312,0.10854196548461914,0.11437630653381348,1.3544211387634277,
DEU_LocationAUpper-36_8_T-2,12,domain_dpll,vp,True,1,1,0,inf,1,3.170967102050781e-05,1.6450881958007812e-05,6.103515625e-05,0.0003540515899658203,0.0023691654205322266,0.00021767616271972656,0.0,0.0,0.0,0.0,0.003050088882446289,1.1484031677246094,
DEU_LocationAUpper-36_8_T-2,12,domain_dpll,smt,True,2,1,0,0.4,0,0.0,2.6941299438476562e-05,0.0,0.0,0.0,0.0,0.0,0.003831148147583008,0.001995086669921875,0.11806941032409668,0.12392258644104004,1.365779161453247,
DEU_LocationAUpper-36_8_T-2,14,domain_dpll,vp,True,1,2,0,inf,1,3.0994415283203125e-05,1.52587890625e-05,5.6743621826171875e-05,0.0003516674041748047,0.002681732177734375,0.00027823448181152344,0.0,0.0,0.0,0.0,0.003414630889892578,1.1223797798156738,
DEU_LocationAUpper-36_8_T-2,14,domain_dpll,smt,True,1,2,0,-inf,0,0.0,2.3603439331054688e-05,0.0,0.0,0.0,0.0,0.0,0.006657838821411133,0.002172231674194336,0.13135218620300293,0.14020586013793945,1.3883423805236816,
DEU_LocationAUpper-36_8_T-2,17,domain_dpll,vp,True,1,5,0,inf,1,3.337860107421875e-05,1.7404556274414062e-05,6.222724914550781e-05,0.00034880638122558594,0.003470897674560547,0.00048041343688964844,0.0,0.0,0.0,0.0,0.004413127899169922,1.1455113887786865,
DEU_LocationAUpper-36_8_T-2,17,domain_dpll,smt,True,2,5,4,1.2000000000000002,0,0.0,3.600120544433594e-05,0.0,0.0,0.0,0.0,0.0,0.006655454635620117,0.001859426498413086,0.09701037406921387,0.1055612564086914,1.3807077407836914,
DEU_LocationAUpper-36_8_T-2,19,domain_dpll,vp,True,1,1,0,inf,1,2.956390380859375e-05,1.5974044799804688e-05,5.817413330078125e-05,0.0003323554992675781,0.0019724369049072266,0.0002276897430419922,0.0,0.0,0.0,0.0,0.0026361942291259766,1.1323845386505127,
DEU_LocationAUpper-36_8_T-2,19,domain_dpll,smt,True,2,1,0,0.4,0,0.0,3.123283386230469e-05,0.0,0.0,0.0,0.0,0.0,0.0038819313049316406,0.0020830631256103516,0.17131400108337402,0.17731022834777832,1.4282052516937256,
