scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00.xml,30,R_IN3_hand_draft,vp,2,domain_dpll,True,1,27,0,inf,0,6.43730163574219E-06,1.97887420654297E-05,0.00672125816345215,0.00101137161254883,0.00306439399719238,0.000518321990966797,0,0.0113415718078613,0.835808038711548,
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00.xml,30,R_IN3_hand_draft,smt,1,dpll,True,1,27,13,inf,0,0,2.14576721191406E-05,0,0,0,0,0,0.86174488067627,1.92874264717102,
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01.xml,30,R_IN3_hand_draft,vp,2,domain_dpll,True,1,26,0,3.1,0,6.91413879394531E-06,1.33514404296875E-05,3.83853912353516E-05,0.000919580459594727,0.00245952606201172,0.000525951385498047,0,0.00396370887756348,0.822830200195313,
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01.xml,30,R_IN3_hand_draft,smt,1,dpll,True,2,26,18,inf,0,0,3.12328338623047E-05,0,0,0,0,0,0.499015331268311,1.55130052566528,
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02.xml,30,R_IN3_hand_draft,vp,2,domain_dpll,True,1,25,0,3,0,5.7220458984375E-06,1.43051147460938E-05,4.48226928710938E-05,0.000935554504394531,0.00354194641113281,0.00127720832824707,0,0.00581955909729004,0.824539422988892,
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02,scenarios/generated_in3_tests/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02.xml,30,R_IN3_hand_draft,smt,1,dpll,True,2,25,19,3.1,0,0,3.24249267578125E-05,0,0,0,0,0,0.506959915161133,1.56263136863709,
DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27.xml,10138,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,6.91413879394531E-06,1.43051147460938E-05,0.00193095207214355,0.000257730484008789,0.00163388252258301,0.000286102294921875,0,0.00412988662719727,1.02969574928284,
DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27.xml,10138,R_IN3_hand_draft,smt,2,dpll,False,43,6,1,,0,0,0.00126218795776367,0,0,0,0,0,0.925020933151245,17.5096688270569,repair returned None
DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29.xml,10394,R_IN3_hand_draft,vp,2,domain_dpll,True,1,5,0,inf,0,5.96046447753906E-06,1.71661376953125E-05,0.00197505950927734,0.000260829925537109,0.00216007232666016,0.000238418579101563,0,0.00465750694274902,1.03735375404358,
DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29.xml,10394,R_IN3_hand_draft,smt,1,dpll,True,2,5,2,1.4,0,0,3.79085540771484E-05,0,0,0,0,0,0.487816095352173,17.6608145236969,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_30,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_30.xml,10523,R_IN3_hand_draft,vp,2,domain_dpll,True,1,11,0,3.2,0,7.62939453125E-06,1.35898590087891E-05,0.00156617164611816,0.000322818756103516,0.00180244445800781,0.000231742858886719,0,0.00394439697265625,0.990715026855469,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_30,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_30.xml,10523,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.90018630027771,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32.xml,10066,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,inf,0,5.96046447753906E-06,1.64508819580078E-05,0.00380134582519531,0.000274896621704102,0.0017707347869873,0.000212669372558594,0,0.00608205795288086,1.25072383880615,
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32.xml,10066,R_IN3_hand_draft,smt,2,dpll,True,1,4,2,1,0,0,2.19345092773438E-05,0,0,0,0,0,0.479413270950317,23.71613240242,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35.xml,10131,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,6.67572021484375E-06,1.35898590087891E-05,0.00191736221313477,0.000262022018432617,0.00197696685791016,0.000242948532104492,0,0.00441956520080566,1.02630996704102,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35.xml,10131,R_IN3_hand_draft,smt,1,dpll,True,2,6,4,1.6,0,0,2.98023223876953E-05,0,0,0,0,0,0.253757953643799,17.076634645462,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_37,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_37.xml,10523,R_IN3_hand_draft,vp,2,domain_dpll,True,2,8,0,2.6,0,7.39097595214844E-06,5.00679016113281E-05,0.0102880001068115,0.000618219375610352,0.00108551979064941,0.000189304351806641,0,0.0122385025024414,0.981281995773315,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_37,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_37.xml,10523,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.879072427749634,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40.xml,10066,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,inf,0,6.67572021484375E-06,1.66893005371094E-05,0.00393271446228027,0.000330448150634766,0.00279855728149414,0.000229597091674805,0,0.00731468200683594,1.25710988044739,
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40.xml,10066,R_IN3_hand_draft,smt,2,dpll,False,21,4,-inf,,0,0,0.000431537628173828,0,0,0,0,0,0.0825278759002686,23.1599812507629,repair returned None
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43.xml,10131,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,7.62939453125E-06,1.85966491699219E-05,0.00191497802734375,0.000268936157226563,0.00154924392700195,0.000231742858886719,0,0.00399112701416016,1.01783442497253,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43.xml,10131,R_IN3_hand_draft,smt,1,dpll,True,2,6,3,1.6,0,0,3.12328338623047E-05,0,0,0,0,0,0.350728988647461,17.0344159603119,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_45,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_45.xml,10523,R_IN3_hand_draft,vp,2,domain_dpll,True,2,8,0,2.6,0,5.96046447753906E-06,0.0000457763671875,0.00809502601623535,0.000603675842285156,0.00104737281799316,0.000184535980224609,0,0.00998234748840332,0.982402563095093,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_45,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_45.xml,10523,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.881333589553833,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47.xml,10381,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,1.2,0,6.91413879394531E-06,1.38282775878906E-05,3.14712524414063E-05,0.000244617462158203,0.00158286094665527,0.000216245651245117,0,0.00209593772888184,1.03956532478333,
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47.xml,10381,R_IN3_hand_draft,smt,1,dpll,True,2,4,2,1.2,0,0,3.19480895996094E-05,0,0,0,0,0,0.338224649429321,17.1386425495148,
