scenario_id,ego_id,rule_STL,iterations,tv,tc,updated_tv,core_total_time,wall_time
DEU_LocationAUpper-36_48_T-2,16,R_G2,2,1,0,0.4,0.13921499252319336,1.2020940780639648
DEU_LocationALower-47_6_T-2,10,R_G2,1,1,0,0.4,0.11776876449584961,1.4892926216125488
DEU_LocationAUpper-36_30_T-2,5,R_G2,1,1,0,0.6000000000000001,0.04268383979797363,1.0882036685943604
DEU_LocationAUpper-36_30_T-2,10,R_G2,2,1,0,0.4,0.10731053352355957,1.4540574550628662
DEU_LocationAUpper-36_30_T-2,16,R_G2,2,2,1,0.6000000000000001,0.1233053207397461,1.3103346824645996
DEU_LocationAUpper-36_10_T-2,9,R_G2,2,1,0,0.4,0.0429835319519043,1.2162013053894043
DEU_LocationAUpper-36_10_T-2,12,R_G2,2,1,0,0.4,0.12055516242980957,1.4109034538269043
DEU_LocationALower-28_10_T-2,5,R_G2,1,1,0,0.4,0.049840450286865234,1.098952054977417
DEU_LocationALower-27_24_T-2,23,R_G2,2,1,0,0.4,0.1251819133758545,1.4110631942749023
DEU_LocationALower-27_24_T-2,26,R_G2,2,2,1,0.6000000000000001,0.12161087989807129,1.4899256229400635
DEU_LocationALower-34_1_T-2,12,R_G2,2,1,0,0.4,0.12735795974731445,1.1286704540252686
DEU_LocationAUpper-36_49_T-2,7,R_G2,2,9,8,2.0,0.04518270492553711,1.3780832290649414
DEU_LocationAUpper-36_49_T-2,10,R_G2,2,1,0,0.4,0.11194610595703125,1.2366447448730469
DEU_LocationAUpper-36_7_T-2,15,R_G2,1,1,0,0.4,0.12028694152832031,1.4619083404541016
DEU_LocationAUpper-36_7_T-2,18,R_G2,2,1,0,0.4,0.11776518821716309,1.276465654373169
DEU_LocationAUpper-36_7_T-2,20,R_G2,2,20,1,0.2,0.12694811820983887,1.4551115036010742
DEU_LocationAUpper-36_7_T-2,22,R_G2,2,2,1,0.6000000000000001,0.1283731460571289,1.3079781532287598
DEU_LocationAUpper-13_10_T-2,12,R_G2,1,1,0,0.4,0.10840058326721191,1.6681771278381348
DEU_LocationAUpper-13_10_T-2,14,R_G2,2,1,0,0.4,0.11773204803466797,1.5525743961334229
DEU_LocationAUpper-13_10_T-2,25,R_G2,2,1,0,0.4,0.1630852222442627,1.7916898727416992
DEU_LocationAUpper-36_61_T-2,19,R_G2,2,1,0,0.4,0.12681126594543457,1.3219447135925293
DEU_LocationELower-16_22_T-2,9,R_G2,1,1,0,0.4,0.11648750305175781,1.2007849216461182
DEU_LocationAUpper-36_6_T-2,7,R_G2,2,1,0,0.4,0.11969351768493652,1.3915820121765137
DEU_LocationALower-51_31_T-2,21,R_G2,1,1,0,0.4,0.12403392791748047,1.4957075119018555
DEU_LocationALower-51_31_T-2,16,R_G2,2,1,0,0.4,0.12071728706359863,1.33320951461792
DEU_LocationALower-51_31_T-2,18,R_G2,2,1,0,0.4,0.12389731407165527,1.519136905670166
DEU_LocationEUpper-23_23_T-2,4,R_G2,2,1,0,0.4,0.05827188491821289,0.8771419525146484
DEU_LocationALower-40_29_T-2,11,R_G2,2,1,0,0.4,0.12145590782165527,1.381633996963501
DEU_LocationALower-56_28_T-2,11,R_G2,2,14,13,3.0,0.05446815490722656,1.0648562908172607
DEU_LocationELower-22_16_T-2,7,R_G2,1,1,0,0.4,0.11612057685852051,1.1906366348266602
DEU_LocationAUpper-40_29_T-2,18,R_G2,2,1,0,0.4,0.12203550338745117,1.4847047328948975
DEU_LocationALower-27_55_T-2,28,R_G2,1,1,0,0.4,0.12289571762084961,1.4485743045806885
DEU_LocationAUpper-36_56_T-2,14,R_G2,2,1,0,0.4,0.13634276390075684,1.4804909229278564
DEU_LocationAUpper-48_37_T-2,16,R_G2,2,1,0,0.4,0.11192083358764648,1.3490407466888428
DEU_LocationALower-52_33_T-2,15,R_G2,2,1,0,0.4,0.13283896446228027,1.3631632328033447
DEU_LocationALower-27_27_T-2,11,R_G2,2,1,0,0.4,0.15197110176086426,1.5294544696807861
DEU_LocationEUpper-19_33_T-2,6,R_G2,2,1,0,0.4,0.1449596881866455,0.9466569423675537
DEU_LocationAUpper-36_52_T-2,13,R_G2,2,1,0,0.4,0.11877703666687012,1.0396981239318848
