scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_13560_T-579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_13560_T-579.xml,10037,R_IN5,vp,2,domain_dpll,True,1,12,0,inf,7,1.9550323486328125e-05,4.673004150390625e-05,0.00391387939453125,0.0005102157592773438,0.0007143020629882812,0.0022687911987304688,0.0003879070281982422,0.00786137580871582,8.273517847061157,
DEU_AachenBendplatz-1_13560_T-579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_13560_T-579.xml,10037,R_IN5,smt,2,dpll,False,2,12,10,2.8000000000000003,0,0.0,4.38690185546875e-05,0.0,0.0,0.0,0.0,0.0,0.09697389602661133,6.636696815490723,repaired trajectory remains non-compliant: updated_tv=2.8000000000000003
DEU_AachenBendplatz-1_141560_T-1579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_141560_T-1579.xml,10095,R_IN5,vp,2,domain_dpll,False,2,7,0,,6,1.8596649169921875e-05,0.00011968612670898438,0.011202335357666016,0.0057659149169921875,0.0015194416046142578,0.0024878978729248047,0.00039458274841308594,0.021508455276489258,8.855887413024902,repair returned None
DEU_AachenBendplatz-1_141560_T-1579,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_141560_T-1579.xml,10095,R_IN5,smt,2,dpll,False,21,7,4,,0,0.0,0.00078582763671875,0.0,0.0,0.0,0.0,0.0,1.0128467082977295,7.868824243545532,repair returned None
DEU_AachenBendplatz-1_161740_T-1759,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_161740_T-1759.xml,10135,R_IN5,vp,2,domain_dpll,True,1,6,0,inf,7,2.2411346435546875e-05,6.961822509765625e-05,0.0057108402252197266,0.0006582736968994141,0.0009028911590576172,0.006250619888305664,0.0007774829864501953,0.01439213752746582,8.027952909469604,
DEU_AachenBendplatz-1_161740_T-1759,scenarios/experiment_scenarios/ind_converter_2026/DEU_AachenBendplatz-1_161740_T-1759.xml,10135,R_IN5,smt,2,dpll,False,1,6,5,1.8,0,0.0,4.291534423828125e-05,0.0,0.0,0.0,0.0,0.0,1.1172866821289062,7.558000564575195,repaired trajectory remains non-compliant: updated_tv=1.8
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01.xml,10047,R_IN5,vp,2,domain_dpll,True,1,13,0,inf,7,3.8623809814453125e-05,4.4345855712890625e-05,0.0032296180725097656,0.0004825592041015625,0.0006456375122070312,0.0032129287719726562,0.0007140636444091797,0.008367776870727539,8.738612651824951,
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01.xml,10047,R_IN5,smt,2,dpll,True,1,13,10,inf,0,0.0,3.1948089599609375e-05,0.0,0.0,0.0,0.0,0.0,0.10895562171936035,6.53742241859436,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02.xml,10204,R_IN5,vp,2,domain_dpll,True,1,12,0,inf,7,1.5974044799804688e-05,4.458427429199219e-05,0.0034635066986083984,0.00042629241943359375,0.00048542022705078125,0.0024552345275878906,0.0003979206085205078,0.007288932800292969,8.528659105300903,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02.xml,10204,R_IN5,smt,2,dpll,True,1,12,11,inf,0,0.0,2.5987625122070312e-05,0.0,0.0,0.0,0.0,0.0,0.12569355964660645,7.388313293457031,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05.xml,10331,R_IN5,vp,2,domain_dpll,True,1,13,0,inf,7,1.5497207641601562e-05,4.696846008300781e-05,0.0042917728424072266,0.0005156993865966797,0.0009560585021972656,0.002359151840209961,0.0003886222839355469,0.008573770523071289,8.993464946746826,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05.xml,10331,R_IN5,smt,1,dpll,True,1,13,5,inf,0,0.0,4.3392181396484375e-05,0.0,0.0,0.0,0.0,0.0,1.214050054550171,8.180236577987671,
DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06.xml,10462,R_IN5,vp,2,domain_dpll,True,1,8,0,inf,7,2.5987625122070312e-05,7.271766662597656e-05,0.006268501281738281,0.0005435943603515625,0.0006780624389648438,0.003754138946533203,0.0004730224609375,0.011816024780273438,8.051918029785156,
DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06.xml,10462,R_IN5,smt,2,dpll,False,18,8,6,,0,0.0,0.0006427764892578125,0.0,0.0,0.0,0.0,0.0,0.4446117877960205,33.96280837059021,repair returned None
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13.xml,10204,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,2.5272369384765625e-05,5.435943603515625e-05,0.003743886947631836,0.0004963874816894531,0.0004944801330566406,0.0028259754180908203,0.0006029605865478516,0.008243322372436523,8.630937099456787,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13.xml,10204,R_IN5,smt,2,dpll,True,1,14,12,inf,0,0.0,2.9325485229492188e-05,0.0,0.0,0.0,0.0,0.0,0.10018157958984375,7.422189474105835,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15.xml,10288,R_IN5,vp,2,domain_dpll,True,2,11,0,inf,7,2.384185791015625e-05,0.00013184547424316406,0.009446144104003906,0.0050258636474609375,0.0014605522155761719,0.005024909973144531,0.0017654895782470703,0.022878646850585938,10.595988750457764,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15.xml,10288,R_IN5,smt,2,dpll,True,1,11,1,inf,0,0.0,3.1948089599609375e-05,0.0,0.0,0.0,0.0,0.0,0.35743188858032227,7.08829927444458,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16.xml,10331,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,1.7642974853515625e-05,5.054473876953125e-05,0.004141330718994141,0.00042128562927246094,0.0007758140563964844,0.0025031566619873047,0.00039505958557128906,0.008304834365844727,8.841237783432007,
DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16.xml,10331,R_IN5,smt,2,dpll,True,1,14,13,inf,0,0.0,2.574920654296875e-05,0.0,0.0,0.0,0.0,0.0,0.12460494041442871,7.048906564712524,
