scenario_id,ego_id,sat_solver_mode,repairer_type,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-34_37_T-1,9,domain_dpll,vp,True,1,2,0,inf,0,0.004282236099243164,2.0503997802734375e-05,0.0002624988555908203,0.0003349781036376953,0.0035533905029296875,0.0002963542938232422,0.0,0.0,0.0,0.0,0.008749961853027344,1.1508028507232666,
DEU_LocationALower-34_37_T-1,9,domain_dpll,smt,True,1,2,1,inf,0,0.0,2.5987625122070312e-05,0.0,0.0,0.0,0.0,0.0,0.006596565246582031,0.09487700462341309,0.1492936611175537,0.2507932186126709,2.3253209590911865,
DEU_LocationALower-11_131_T-1,18,domain_dpll,vp,True,1,9,0,inf,0,0.00502467155456543,1.9550323486328125e-05,0.0003256797790527344,0.00039267539978027344,0.002652883529663086,0.0004780292510986328,0.0,0.0,0.0,0.0,0.008893489837646484,1.261976957321167,
DEU_LocationALower-11_131_T-1,18,domain_dpll,smt,True,1,9,8,inf,0,0.0,2.6226043701171875e-05,0.0,0.0,0.0,0.0,0.0,0.03197312355041504,0.12328910827636719,0.16158509254455566,0.31687355041503906,3.816251277923584,
DEU_LocationALower-11_4_T-1,18,domain_dpll,vp,True,1,6,0,inf,0,0.0053441524505615234,2.3603439331054688e-05,0.00034165382385253906,0.0004057884216308594,0.002654552459716797,0.0002980232238769531,0.0,0.0,0.0,0.0,0.009067773818969727,1.078611135482788,
DEU_LocationALower-11_4_T-1,18,domain_dpll,smt,True,1,6,5,1.2000000000000002,0,0.0,2.7418136596679688e-05,0.0,0.0,0.0,0.0,0.0,0.018741130828857422,0.08474040031433105,0.12981224060058594,0.2333211898803711,2.4452943801879883,
DEU_LocationALower-11_43_T-1,17,domain_dpll,vp,True,2,2,0,inf,0,0.005063056945800781,4.506111145019531e-05,0.00031447410583496094,0.0003859996795654297,0.0023605823516845703,0.00028514862060546875,0.0,0.0,0.0,0.0,0.008454322814941406,1.229881763458252,
DEU_LocationALower-11_43_T-1,17,domain_dpll,smt,False,4,2,1,,0,0.0,0.00015616416931152344,0.0,0.0,0.0,0.0,0.0,0.13257312774658203,0,0,0.13272929191589355,3.80086350440979,repair returned None
DEU_LocationALower-11_56_T-1,15,domain_dpll,vp,True,1,14,0,inf,1,0.005259275436401367,2.5033950805664062e-05,0.00032782554626464844,0.00036406517028808594,0.0029306411743164062,0.0002810955047607422,0.0,0.0,0.0,0.0,0.009187936782836914,1.1968443393707275,
DEU_LocationALower-11_56_T-1,15,domain_dpll,smt,False,4,14,13,,0,0.0,0.00011658668518066406,0.0,0.0,0.0,0.0,0.0,0.05153346061706543,0,0,0.051650047302246094,2.9677786827087402,repair returned None
DEU_LocationALower-11_64_T-1,18,domain_dpll,vp,True,1,15,0,inf,1,0.004876375198364258,2.7179718017578125e-05,0.00031375885009765625,0.0003840923309326172,0.002545595169067383,0.0002853870391845703,0.0,0.0,0.0,0.0,0.008432388305664062,1.1364948749542236,
DEU_LocationALower-11_64_T-1,18,domain_dpll,smt,True,1,15,14,inf,0,0.0,2.1696090698242188e-05,0.0,0.0,0.0,0.0,0.0,0.023246288299560547,0.03832411766052246,0.09693074226379395,0.1585228443145752,2.9221150875091553,
DEU_LocationALower-12_109_T-1,20,domain_dpll,vp,True,1,19,0,inf,1,0.004897356033325195,2.3126602172851562e-05,0.0003104209899902344,0.00037026405334472656,0.0025255680084228516,0.0002276897430419922,0.0,0.0,0.0,0.0,0.008354425430297852,1.2593958377838135,
DEU_LocationALower-12_109_T-1,20,domain_dpll,smt,True,1,19,18,3.8000000000000003,0,0.0,4.0531158447265625e-05,0.0,0.0,0.0,0.0,0.0,0.04158210754394531,0.02857518196105957,0.03754782676696777,0.10774564743041992,3.434347152709961,
DEU_LocationALower-12_217_T-1,14,domain_dpll,vp,True,1,17,0,inf,0,0.0047740936279296875,2.1457672119140625e-05,0.00030803680419921875,0.0003750324249267578,0.0024154186248779297,0.00029349327087402344,0.0,0.0,0.0,0.0,0.008187532424926758,1.0958521366119385,
