scenario_id,ego_id,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_LocationAUpper-47_35_T-1,23,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.721721172332764,invalid initial tv: inf
DEU_LocationCUpper-6_9_T-1,10,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.532543659210205,invalid initial tv: inf
DEU_LocationBUpper-2_46_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.438217878341675,invalid initial tv: inf
DEU_LocationBUpper-2_46_T-1,10,domain_dpll,True,1,9,1,inf,1,0.00956606864929199,2.38418579101563E-05,0.000242233276367188,0.000278472900390625,0.00110602378845215,0.000156164169311523,0,0.0113728046417236,0.588038682937622,
DEU_LocationBUpper-2_46_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0201423168182373,'NoneType' object has no attribute 'state_at_time'
DEU_LocationBUpper-2_46_T-1,15,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.133686542510986,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-27_26_T-1,12,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.594274520874023,invalid initial tv: inf
DEU_LocationAUpper-27_26_T-1,13,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.608963489532471,invalid initial tv: inf
DEU_LocationALower-30_11_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.664511442184448,invalid initial tv: inf
DEU_LocationDUpper-9_22_T-1,12,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0104284286499023,'NoneType' object has no attribute 'state_at_time'
DEU_LocationEUpper-21_47_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0089256763458252,'NoneType' object has no attribute 'state_at_time'
DEU_LocationCLower-4_22_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.00665783882141113,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-47_43_T-1,8,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.63135552406311,invalid initial tv: inf
DEU_LocationAUpper-47_43_T-1,10,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.579673051834106,invalid initial tv: inf
DEU_LocationAUpper-47_43_T-1,15,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.59475564956665,invalid initial tv: inf
DEU_LocationAUpper-47_43_T-1,21,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0215060710906982,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-35_38_T-1,11,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.607639074325562,invalid initial tv: inf
DEU_LocationAUpper-35_38_T-1,12,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.648904800415039,invalid initial tv: inf
DEU_LocationAUpper-35_38_T-1,13,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.631976127624512,invalid initial tv: inf
DEU_LocationAUpper-35_38_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.724584341049194,invalid initial tv: inf
DEU_LocationAUpper-41_16_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.510640382766724,invalid initial tv: inf
DEU_LocationAUpper-41_16_T-1,15,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0139777660369873,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-35_23_T-1,16,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.601605892181397,invalid initial tv: inf
DEU_LocationAUpper-42_6_T-1,13,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.782719135284424,invalid initial tv: inf
DEU_LocationAUpper-27_15_T-1,16,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.624138116836548,invalid initial tv: inf
DEU_LocationELower-23_45_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.377025842666626,invalid initial tv: inf
DEU_LocationFUpper-60_33_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.682818174362183,invalid initial tv: inf
DEU_LocationFUpper-60_33_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.727225542068481,invalid initial tv: inf
DEU_LocationFUpper-60_33_T-1,10,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.769392728805542,invalid initial tv: inf
DEU_LocationCLower-4_17_T-1,8,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.51006817817688,cannot unpack non-iterable float object
DEU_LocationCLower-4_17_T-1,13,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0126523971557617,'NoneType' object has no attribute 'state_at_time'
DEU_LocationELower-19_47_T-1,6,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.381572246551514,invalid initial tv: inf
DEU_LocationALower-30_50_T-1,16,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.579934358596802,invalid initial tv: inf
DEU_LocationALower-32_6_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.571069955825806,invalid initial tv: inf
DEU_LocationALower-32_6_T-1,18,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0183601379394531,'NoneType' object has no attribute 'state_at_time'
DEU_LocationBLower-2_22_T-1,5,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.416428089141846,invalid initial tv: inf
DEU_LocationAUpper-31_51_T-1,17,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.691737651824951,invalid initial tv: inf
DEU_LocationAUpper-31_51_T-1,18,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.592042207717896,invalid initial tv: inf
DEU_LocationALower-31_7_T-1,16,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0193955898284912,'NoneType' object has no attribute 'state_at_time'
DEU_LocationALower-31_7_T-1,17,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0185954570770264,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-38_18_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.652825593948364,invalid initial tv: inf
DEU_LocationAUpper-48_38_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.573965787887573,invalid initial tv: inf
DEU_LocationAUpper-48_38_T-1,13,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.71779465675354,invalid initial tv: inf
DEU_LocationELower-22_26_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.00519180297851563,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-38_57_T-1,19,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.020505428314209,'NoneType' object has no attribute 'state_at_time'
DEU_LocationFUpper-58_15_T-1,11,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.774020910263062,invalid initial tv: inf
DEU_LocationFUpper-58_15_T-1,18,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.785328149795532,invalid initial tv: inf
DEU_LocationAUpper-28_14_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.616922616958618,invalid initial tv: inf
DEU_LocationAUpper-25_21_T-1,33,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.000107288360595703,[Errno 2] No such file or directory: '/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationAUpper-25_21_T-1.xml'
DEU_LocationALower-50_36_T-1,9,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.491750001907349,invalid initial tv: inf
DEU_LocationALower-50_36_T-1,12,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.639683485031128,invalid initial tv: inf
DEU_LocationALower-50_36_T-1,20,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0128352642059326,'NoneType' object has no attribute 'state_at_time'
DEU_LocationELower-18_12_T-1,12,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.00644087791442871,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-30_30_T-1,10,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.725528955459595,invalid initial tv: inf
DEU_LocationALower-37_25_T-1,11,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.602977275848389,invalid initial tv: inf
DEU_LocationALower-25_15_T-1,22,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.697183132171631,invalid initial tv: inf
DEU_LocationBUpper-2_42_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.363996982574463,cannot unpack non-iterable float object
DEU_LocationBUpper-2_42_T-1,8,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.374331951141357,invalid initial tv: inf
DEU_LocationCLower-4_36_T-1,10,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.00925493240356445,'NoneType' object has no attribute 'state_at_time'
DEU_LocationELower-17_30_T-1,6,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.372686147689819,invalid initial tv: inf
DEU_LocationAUpper-11_14_T-1,7,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.535681247711182,invalid initial tv: inf
DEU_LocationAUpper-11_14_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.782810211181641,invalid initial tv: inf
DEU_LocationAUpper-25_43_T-1,30,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.000120878219604492,[Errno 2] No such file or directory: '/data_linux/Lab/highD-cr-scenarios/highD-repair/DEU_LocationAUpper-25_43_T-1.xml'
DEU_LocationAUpper-38_43_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.0163991451263428,'NoneType' object has no attribute 'state_at_time'
DEU_LocationAUpper-36_58_T-1,11,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.682853221893311,cannot unpack non-iterable float object
DEU_LocationAUpper-36_58_T-1,16,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.685224294662476,cannot unpack non-iterable float object
DEU_LocationAUpper-36_58_T-1,18,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.819769382476807,invalid initial tv: inf
DEU_LocationAUpper-33_43_T-1,14,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.592446804046631,invalid initial tv: inf
DEU_LocationAUpper-33_43_T-1,15,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.610475301742554,invalid initial tv: inf
DEU_LocationAUpper-33_43_T-1,18,domain_dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.021742582321167,'NoneType' object has no attribute 'state_at_time'
