scenario_name,ego_id,violated_rules,rule_to_tv,lanelet_assigned_steps,raw_violated_rules,raw_rule_to_tv,sat_solver_mode,repairer_type,planner,constraint_mode,selection_reason,attempted_smt_configurations,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_MONAMerge-2_10001720_T-1739.xml,11767,R_G1,R_G1:18,20,R_G1,R_G1:18,domain_dpll,vp,,,,,True,1,18,0,inf,0,0.0014507770538330078,1.7881393432617188e-05,0.00022220611572265625,0.000274658203125,0.0016713142395019531,0.00023627281188964844,0.0,0.0,0.0,0.0,0.003873109817504883,0.9295146465301514,
DEU_MONAMerge-2_10001900_T-1919.xml,11934,R_G1,R_G1:14,20,R_G1,R_G1:14,domain_dpll,vp,,,,,True,2,14,0,inf,0,0.0016717910766601562,5.7697296142578125e-05,0.00035953521728515625,0.0008521080017089844,0.0013644695281982422,0.00018978118896484375,0.0,0.0,0.0,0.0,0.004495382308959961,0.8222250938415527,
DEU_MONAMerge-2_10001920_T-1939.xml,11957,R_G1,R_G1:8,20,R_G1,R_G1:8,domain_dpll,vp,,,,,True,1,8,0,inf,0,0.0014355182647705078,1.6927719116210938e-05,3.147125244140625e-05,0.0002856254577636719,0.003011465072631836,0.0002639293670654297,0.0,0.0,0.0,0.0,0.0050449371337890625,0.7672057151794434,
DEU_MONAMerge-2_10002000_T-2019.xml,12012,R_G1,R_G1:19,20,R_G1,R_G1:19,domain_dpll,vp,,,,,True,2,19,0,inf,0,0.001544952392578125,4.839897155761719e-05,0.0002923011779785156,0.0009148120880126953,0.0020117759704589844,0.0003108978271484375,0.0,0.0,0.0,0.0,0.005123138427734375,0.8237001895904541,
DEU_MONAMerge-2_10002000_T-2019.xml,12023,R_G1,R_G1:13,20,R_G1,R_G1:13,domain_dpll,vp,,,,,True,2,13,0,inf,0,0.001430511474609375,3.981590270996094e-05,0.00025534629821777344,0.0007481575012207031,0.001476287841796875,0.0002110004425048828,0.0,0.0,0.0,0.0,0.00416111946105957,0.7757124900817871,
DEU_MONAMerge-2_10002060_T-2079.xml,12057,R_G1,R_G1:12,20,R_G1,R_G1:12,domain_dpll,vp,,,,,True,1,12,0,inf,0,0.0014600753784179688,1.8596649169921875e-05,0.00022912025451660156,0.0003809928894042969,0.0023097991943359375,0.00021147727966308594,0.0,0.0,0.0,0.0,0.0046100616455078125,0.7569680213928223,
DEU_MONAMerge-2_10002120_T-2139.xml,12117,R_G1,R_G1:10,20,R_G1,R_G1:10,domain_dpll,vp,,,,,True,1,10,0,inf,0,0.0014913082122802734,2.193450927734375e-05,0.00022077560424804688,0.0004100799560546875,0.00333404541015625,0.0004608631134033203,0.0,0.0,0.0,0.0,0.005939006805419922,0.8826882839202881,
DEU_MONAMerge-2_10002140_T-2159.xml,12152,R_G1,R_G1:14,20,R_G1,R_G1:14,domain_dpll,vp,,,,,True,2,14,0,inf,0,0.0015451908111572266,3.743171691894531e-05,0.0002665519714355469,0.0007166862487792969,0.0012581348419189453,0.0002484321594238281,0.0,0.0,0.0,0.0,0.004072427749633789,0.8207724094390869,
DEU_MONAMerge-2_10002180_T-2199.xml,12184,R_G1,R_G1:12,20,R_G1,R_G1:12,domain_dpll,vp,,,,,True,2,12,0,inf,0,0.0014729499816894531,3.647804260253906e-05,0.0002720355987548828,0.0007088184356689453,0.0013401508331298828,0.0002353191375732422,0.0,0.0,0.0,0.0,0.004065752029418945,0.771583080291748,
DEU_MONAMerge-2_10002200_T-2219.xml,12214,R_G1,R_G1:9,20,R_G1,R_G1:9,domain_dpll,vp,,,,,True,1,9,0,inf,0,0.0014483928680419922,1.8358230590820312e-05,3.266334533691406e-05,0.00028705596923828125,0.0018401145935058594,0.0002624988555908203,0.0,0.0,0.0,0.0,0.0038890838623046875,0.7599716186523438,
DEU_MONAMerge-2_10002200_T-2219.xml,12232,R_G1,R_G1:12,20,R_G1,R_G1:12,domain_dpll,vp,,,,,True,2,12,0,inf,0,0.0014636516571044922,3.647804260253906e-05,0.0002734661102294922,0.0007078647613525391,0.0012803077697753906,0.00020551681518554688,0.0,0.0,0.0,0.0,0.00396728515625,0.762343168258667,
DEU_MONAMerge-2_10002380_T-2399.xml,12372,R_G1,R_G1:19,20,R_G1,R_G1:19,domain_dpll,vp,,,,,True,2,19,0,inf,0,0.0014793872833251953,3.910064697265625e-05,0.0002732276916503906,0.0007157325744628906,0.0017745494842529297,0.0004439353942871094,0.0,0.0,0.0,0.0,0.004725933074951172,0.7825653553009033,
DEU_MONAMerge-2_10002440_T-2459.xml,12409,R_G1,R_G1:15,20,R_G1,R_G1:15,domain_dpll,vp,,,,,True,1,15,0,inf,0,0.0013933181762695312,1.7404556274414062e-05,3.0040740966796875e-05,0.00027942657470703125,0.0017478466033935547,0.0001995563507080078,0.0,0.0,0.0,0.0,0.003667593002319336,0.8149490356445312,
DEU_MONAMerge-2_10002480_T-2499.xml,12445,R_G1,R_G1:11,20,R_G1,R_G1:11,domain_dpll,vp,,,,,True,2,11,0,inf,0,0.0013833045959472656,3.886222839355469e-05,0.000240325927734375,0.0006997585296630859,0.0013399124145507812,0.00019931793212890625,0.0,0.0,0.0,0.0,0.0039014816284179688,0.7907369136810303,
DEU_MONAMerge-2_10002580_T-2599.xml,12493,R_G1,R_G1:10,20,R_G1,R_G1:10,domain_dpll,vp,,,,,True,1,10,0,inf,0,0.001649618148803711,2.002716064453125e-05,0.0002410411834716797,0.0003936290740966797,0.0023069381713867188,0.00021529197692871094,0.0,0.0,0.0,0.0,0.004826545715332031,0.779461145401001,
DEU_MONAMerge-2_10002780_T-2799.xml,12602,R_G1,R_G1:18,20,R_G1,R_G1:18,domain_dpll,vp,,,,,True,2,18,0,inf,0,0.0014545917510986328,3.790855407714844e-05,0.0002636909484863281,0.0006854534149169922,0.0012736320495605469,0.00018930435180664062,0.0,0.0,0.0,0.0,0.003904581069946289,0.7713844776153564,
DEU_MONAMerge-2_10002780_T-2799.xml,12603,R_G1,R_G1:18,20,R_G1,R_G1:18,domain_dpll,vp,,,,,True,2,18,0,inf,0,0.0014481544494628906,4.291534423828125e-05,0.0002961158752441406,0.0007154941558837891,0.0011756420135498047,0.00016880035400390625,0.0,0.0,0.0,0.0,0.0038471221923828125,0.7557337284088135,
DEU_MONAMerge-2_10002820_T-2839.xml,12625,R_G1,R_G1:17,20,R_G1,R_G1:17,domain_dpll,vp,,,,,True,2,17,0,inf,0,0.001405954360961914,3.409385681152344e-05,0.0002551078796386719,0.0006940364837646484,0.0013110637664794922,0.0002033710479736328,0.0,0.0,0.0,0.0,0.003903627395629883,0.7543768882751465,
DEU_MONAMerge-2_10002920_T-2939.xml,12731,R_G1,R_G1:19,20,R_G1,R_G1:19,domain_dpll,vp,,,,,True,1,19,0,inf,0,0.0014700889587402344,1.5974044799804688e-05,0.00022101402282714844,0.0002803802490234375,0.0020017623901367188,0.0001983642578125,0.0,0.0,0.0,0.0,0.004187583923339844,0.7312183380126953,
DEU_MONAMerge-2_1000340_T-359.xml,10361,R_G1,R_G1:18,20,R_G1,R_G1:18,domain_dpll,vp,,,,,True,2,18,0,inf,0,0.0015017986297607422,3.528594970703125e-05,0.0002675056457519531,0.000736236572265625,0.0013794898986816406,0.0002200603485107422,0.0,0.0,0.0,0.0,0.004140377044677734,0.7899775505065918,
