scenario_id,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,vp,2,domain_dpll,True,1,1,0,1.2000000000000002,9,8.893013000488281e-05,3.62396240234375e-05,0.0018551349639892578,0.00045013427734375,0.0028455257415771484,0.00027823448181152344,0.0,0.00555419921875,5.3848888874053955,
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,smt,2,dpll,True,1,1,0,1.4000000000000001,0,0.0,3.123283386230469e-05,0.0,0.0,0.0,0.0,0.0,1.5009269714355469,8.244717836380005,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,vp,2,domain_dpll,True,1,4,0,1.8,7,0.00012636184692382812,7.534027099609375e-05,0.008665084838867188,0.0006844997406005859,0.010425806045532227,0.00030422210693359375,0.0,0.020281314849853516,6.0090978145599365,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.409698724746704,"AssertionError: Initial lateral velocity 10.948092951312903 exceeds valid velocity interval [-4.0, 4.0]."
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,vp,2,domain_dpll,True,1,11,0,3.0,8,0.0001373291015625,5.316734313964844e-05,0.0017242431640625,0.0004930496215820312,0.0021817684173583984,0.0002377033233642578,0.0,0.004827260971069336,5.581354141235352,
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,smt,2,dpll,False,32,11,3,,0,0.0,0.0011022090911865234,0.0,0.0,0.0,0.0,0.0,1.1283659934997559,7.8624138832092285,repair returned None
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,vp,2,domain_dpll,True,1,9,0,inf,0,0.0001392364501953125,6.0558319091796875e-05,0.016715526580810547,0.00041794776916503906,0.0017049312591552734,0.00022149085998535156,0.0,0.01925969123840332,5.9273841381073,
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,smt,2,dpll,True,2,9,8,2.2,0,0.0,8.654594421386719e-05,0.0,0.0,0.0,0.0,0.0,0.2047719955444336,23.10028052330017,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,vp,2,domain_dpll,True,1,5,0,1.6,8,0.00010156631469726562,4.1484832763671875e-05,0.0016407966613769531,0.00043487548828125,0.0021920204162597656,0.0002753734588623047,0.0,0.004686117172241211,5.299018383026123,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,smt,2,dpll,False,33,5,1,,0,0.0,0.001035928726196289,0.0,0.0,0.0,0.0,0.0,0.6900632381439209,32.34026908874512,repair returned None
