scenario_id,ego_id,sat_solver_mode,repairer_type,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-11_102_T-1,16,domain_dpll,vp,True,1,9,0,inf,0,0.0023026466369628906,4.673004150390625e-05,0.0004138946533203125,0.00045228004455566406,0.0025267601013183594,0.0004115104675292969,0.0,0.0,0.0,0.0,0.00615382194519043,2.1203441619873047,
DEU_LocationALower-11_102_T-1,16,domain_dpll,smt,True,1,9,8,inf,0,0.0,6.508827209472656e-05,0.0,0.0,0.0,0.0,0.0,0.03621816635131836,0.08072042465209961,0.11424994468688965,0.23125362396240234,4.705191373825073,
DEU_LocationALower-11_110_T-1,16,domain_dpll,vp,True,1,2,0,inf,0,0.0022215843200683594,4.410743713378906e-05,0.00043582916259765625,0.00044727325439453125,0.002627849578857422,0.00032520294189453125,0.0,0.0,0.0,0.0,0.006101846694946289,3.0242111682891846,
DEU_LocationALower-11_110_T-1,16,domain_dpll,smt,True,1,2,1,inf,0,0.0,6.794929504394531e-05,0.0,0.0,0.0,0.0,0.0,0.017937183380126953,0.3367621898651123,0.19250702857971191,0.5472743511199951,5.819225311279297,
DEU_LocationALower-11_131_T-1,18,domain_dpll,vp,True,1,9,0,inf,0,0.0024068355560302734,5.245208740234375e-05,0.0004696846008300781,0.0004649162292480469,0.0031223297119140625,0.0003604888916015625,0.0,0.0,0.0,0.0,0.006876707077026367,3.3768627643585205,
DEU_LocationALower-11_131_T-1,18,domain_dpll,smt,True,1,9,8,inf,0,0.0,5.269050598144531e-05,0.0,0.0,0.0,0.0,0.0,0.022958040237426758,0.06626224517822266,0.2312304973602295,0.32050347328186035,5.809533596038818,
DEU_LocationALower-11_4_T-1,18,domain_dpll,vp,True,1,1,0,inf,0,0.00457000732421875,6.723403930664062e-05,0.0007405281066894531,0.00089263916015625,0.008869409561157227,0.00036072731018066406,0.0,0.0,0.0,0.0,0.015500545501708984,2.610445976257324,
DEU_LocationALower-11_4_T-1,18,domain_dpll,smt,True,1,1,0,inf,0,0.0,7.390975952148438e-05,0.0,0.0,0.0,0.0,0.0,0.021646738052368164,0.19392609596252441,0.3021843433380127,0.5178310871124268,5.4397783279418945,
DEU_LocationALower-11_43_T-1,17,domain_dpll,vp,True,2,2,0,inf,0,0.0035254955291748047,0.00011110305786132812,0.0006036758422851562,0.0006480216979980469,0.008829355239868164,0.0003960132598876953,0.0,0.0,0.0,0.0,0.014113664627075195,2.7772109508514404,
DEU_LocationALower-11_43_T-1,17,domain_dpll,smt,True,1,2,1,inf,0,0.0,4.2438507080078125e-05,0.0,0.0,0.0,0.0,0.0,0.04478573799133301,0.12569069862365723,0.17411494255065918,0.3446338176727295,4.097963571548462,
DEU_LocationALower-11_56_T-1,15,domain_dpll,vp,True,1,1,0,inf,0,0.004843711853027344,7.128715515136719e-05,0.0008454322814941406,0.0009768009185791016,0.0161898136138916,0.0004024505615234375,0.0,0.0,0.0,0.0,0.023329496383666992,3.1587064266204834,
