group,rule,cases,vp_successes,vp_success_rate,sampling_successes,sampling_success_rate,vp_mean_time_s,vp_median_time_s,vp_p95_time_s,sampling_mean_time_s,sampling_median_time_s,sampling_p95_time_s,mean_runtime_ratio
rg1,R_G1,100,100,1.0,100,1.0,0.009492788314819336,0.008998990058898926,0.010777235031127928,0.272116380059706,0.24552599699927669,0.4581952892000117,29.905052279009332
rg2,R_G2,69,66,0.9565217391304348,68,0.9855072463768116,0.006271054779273876,0.005669116973876953,0.01487135887145994,0.19609545459430935,0.17723831399780465,0.3395194956014164,34.329099103848236
rg3,R_G3,100,100,1.0,100,1.0,0.00937772035598755,0.009394407272338867,0.010305368900299072,0.24121305073975235,0.21918791200005217,0.3591497009996601,25.80331070444595
rg1_rg3,R_G1_R_G3,87,87,1.0,75,0.8620689655172413,0.01052774780098049,0.010234355926513672,0.012045598030090332,2.2554907633679795,0.2201175849986612,13.922345107198636,220.27445198680007
in1,R_IN1,91,90,0.989010989010989,39,0.42857142857142855,0.008779916134509411,0.008736371994018555,0.011576056480407715,0.8283545075651252,0.763671640001121,1.961006225798337,103.34155039051798
in3,R_IN3_hand_draft,68,68,1.0,36,0.5294117647058824,0.019567976979648367,0.011761307716369629,0.06529411077499389,1.7032818161212961,0.6381612655004574,6.225637544500387,137.42437179868642
in4,R_IN4,46,44,0.9565217391304348,18,0.391304347826087,0.018371115560116974,0.011816620826721191,0.0730663537979126,1.4098635720263126,0.8298892460006755,3.918090411701812,114.27853893365291
in5,R_IN5,50,49,0.98,24,0.48,0.017656402587890627,0.011509180068969727,0.06194247007369995,0.6357635302799463,0.5775550580001436,1.4617629480006142,48.82598984284098
