group,scenario_id,ego_id,rule,vp_success,sampling_success,vp_core_time_s,sampling_core_time_s,runtime_ratio_sampling_over_vp,sampling_candidates_checked,sampling_error
rg1,DEU_LocationALower-34_37_T-1,9,R_G1,True,True,0.02973318099975586,0.3411281019980379,11.472977008441811,60,
rg1,DEU_LocationALower-11_131_T-1,18,R_G1,True,True,0.00906062126159668,0.33921794799971394,37.43870736960219,33,
rg1,DEU_LocationALower-11_4_T-1,18,R_G1,True,True,0.009440183639526367,0.47787566400074866,50.62143727796429,98,
rg1,DEU_LocationALower-11_43_T-1,17,R_G1,True,True,0.009379148483276367,0.3997448339978291,42.620589140965215,70,
rg1,DEU_LocationALower-11_56_T-1,15,R_G1,True,True,0.013799667358398438,0.15665024999907473,11.35174101886868,1,
rg1,DEU_LocationALower-11_64_T-1,18,R_G1,True,True,0.008419275283813477,0.36450752499877126,43.29440631304183,31,
rg1,DEU_LocationALower-12_109_T-1,20,R_G1,True,True,0.008487701416015625,0.3089225069998065,36.39648614604821,25,
rg1,DEU_LocationALower-12_217_T-1,14,R_G1,True,True,0.008426666259765625,0.3985140520017012,47.29201794836304,32,
rg1,DEU_LocationALower-12_52_T-1,26,R_G1,True,True,0.009043693542480469,0.35321064999880036,39.056017139422345,33,
rg1,DEU_LocationALower-13_162_T-1,21,R_G1,True,True,0.009124755859375,0.37227914199684164,40.79880576907193,32,
rg1,DEU_LocationALower-13_167_T-1,17,R_G1,True,True,0.008753061294555664,0.3125249439981417,35.70464475012071,32,
rg1,DEU_LocationALower-13_214_T-1,21,R_G1,True,True,0.009593725204467773,0.15585810700213187,16.245838157793923,1,
rg1,DEU_LocationALower-13_239_T-1,18,R_G1,True,True,0.009302616119384766,0.29736940399743617,31.966212534319098,33,
rg1,DEU_LocationALower-13_241_T-1,20,R_G1,True,True,0.008366107940673828,0.19934742099940195,23.827976212239257,3,
rg1,DEU_LocationALower-13_247_T-1,15,R_G1,True,True,0.011316299438476562,0.33524257099998067,29.624752581230048,30,
rg1,DEU_LocationALower-13_29_T-1,18,R_G1,True,True,0.008964300155639648,0.28372298199974466,31.650321505717095,26,
rg1,DEU_LocationALower-13_56_T-1,10,R_G1,True,True,0.009613037109375,0.2733408009989944,28.434385292492216,32,
rg1,DEU_LocationALower-11_110_T-1,16,R_G1,True,True,0.008953332901000977,0.3222227490005025,35.9891397497884,27,
rg1,DEU_LocationALower-14_161_T-1,21,R_G1,True,True,0.009621858596801758,0.31594919100098195,32.836607171300706,25,
rg1,DEU_LocationALower-14_219_T-1,12,R_G1,True,True,0.008813619613647461,0.27025762000266695,30.663635583294994,25,
rg1,DEU_LocationALower-14_247_T-1,16,R_G1,True,True,0.00828242301940918,0.38586206499894615,46.5880653638084,47,
rg1,DEU_LocationALower-14_252_T-1,12,R_G1,True,True,0.009050369262695312,0.2656000880015199,29.346878596025473,32,
rg1,DEU_LocationALower-14_255_T-1,11,R_G1,True,True,0.008927106857299805,0.3741291859987541,41.909343304524704,32,
rg1,DEU_LocationALower-14_39_T-1,15,R_G1,True,True,0.009049415588378906,0.23152066200054833,25.584045703223413,25,
