cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
all_cases,False,False,False,0.3020631570034311,120,DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40.xml,10066,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.005292337998980656,0.10000306300025841,0.012142820000008214,0.11743822099924728,0.3632175599996117,0.011566877365112305,397,4,742,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.30636625999977696,100,DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43.xml,10131,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.00406576400018821,0.09993835100067372,0.0009729550001793541,0.10497707000104128,,0.0004878044128417969,396,4,737,4,,-inf,,,,,
all_cases,False,False,False,0.2504555849991448,92,DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47.xml,10381,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.004841731000851723,0.1051060250010778,0.01746994099994481,0.12741769700187433,0.36493615200015483,0.016836881637573242,401,4,747,2,0.0,0.01,inf,,,,
all_cases,False,False,False,0.2751472409981943,120,DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48.xml,10184,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0034798980013874825,0.09934966699984216,0.0045379250004771166,0.10736749000170676,0.34908670900040306,0.003945112228393555,393,4,731,2,0.0,0.01,inf,,,,
all_cases,False,False,False,0.2580383040076413,112,DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50.xml,10066,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.005255329999272362,0.09886977799942542,0.0008294620001834119,0.1049545699988812,,0.0002651214599609375,394,4,736,4,,-inf,,,,,
all_cases,False,False,False,0.2164561630015669,80,DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_53.xml,10131,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.003897585998856812,0.09689410300052259,0.00413018099970941,0.10492186999908881,0.3576785839995864,0.003570079803466797,389,4,723,2,0.0,0.00999999999902812,inf,,,,
all_cases,False,False,False,0.14227702700372902,50,DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_56.xml,10277,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0039197099995362805,0.07214312500036613,0.0014751130001968704,0.07753794800009928,0.35838934700041136,0.0009000301361083984,355,0,669,2,,0.010000000005065193,inf,,,,
all_cases,True,True,True,0.22520416700353962,85,DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57.xml,10381,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.0049573930009501055,0.10449404599967238,0.0007869020009820815,0.11023834100160457,,0.000270843505859375,401,4,747,4,,-inf,,,,,
all_cases,False,False,False,0.28304457599733723,125,DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58.xml,10184,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.003557071000614087,0.09952281699952437,0.0007595000006404007,0.10383938800077885,,0.00028586387634277344,393,4,731,4,,-inf,,,,,
all_cases,True,True,True,0.30852792900259374,111,DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60.xml,10066,R_IN3,0,kurtz_lin_log_sos1,20,False,False,False,0.005761761000030674,0.09911000000101922,0.0008063699988269946,0.10567813099987688,,0.0002810955047607422,394,4,736,4,,-inf,,,,,
all_cases,True,True,True,0.21802824100086582,89,DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63,/data_linux/Lab/commonroad-repairer-vp/scenarios/in3_generate/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63.xml,10131,R_IN3,0,kurtz_lin_log_sos1,20,True,True,True,0.0038814489998912904,0.09472737699979916,0.0039009410011203727,0.10250976700081083,0.3507594050006446,0.003319978713989258,389,4,723,2,0.0,0.009999999999102727,inf,,,,
