scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,attempted_smt_configurations,success,iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-34_206_T-1,,20,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,8,10,9,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022892951965332,7.749696254730225,
DEU_LocationALower-34_2_T-1,,8,R_G2,vp,1,1,domain_dpll,,True,1,3,0,inf,1,3.6716461181640625e-05,0.005810976028442383,0.0005617141723632812,6.389617919921875e-05,3.6716461181640625e-05,6.389617919921875e-05,0.002778291702270508,9.822845458984375e-05,0.0004634857177734375,0.00551152229309082,0.0002994537353515625,0.0,0.0,0.0,0.0064733028411865234,1.2927398681640625,
DEU_LocationALower-34_2_T-1,,8,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,3,2,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.041859865188598,8.71640133857727,
DEU_LocationALower-34_51_T-1,,7,R_G2,vp,1,1,domain_dpll,,True,1,10,0,inf,1,3.886222839355469e-05,0.005545854568481445,0.0005660057067871094,7.152557373046875e-05,3.886222839355469e-05,7.152557373046875e-05,0.0027313232421875,9.822845458984375e-05,0.0004677772521972656,0.00516200065612793,0.0003838539123535156,0.0,0.0,0.0,0.006222248077392578,1.2325880527496338,
DEU_LocationALower-34_51_T-1,,7,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,10,9,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919689178466797,6.30215859413147,
DEU_LocationALower-34_52_T-1,,8,R_G2,vp,1,1,domain_dpll,,True,1,1,0,inf,1,3.743171691894531e-05,0.005541563034057617,0.0005784034729003906,6.175041198730469e-05,3.743171691894531e-05,6.175041198730469e-05,0.0028541088104248047,0.000102996826171875,0.0004754066467285156,0.005234241485595703,0.00030732154846191406,0.0,0.0,0.0,0.006219148635864258,1.2545554637908936,
DEU_LocationALower-34_52_T-1,,8,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,1,0,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412508487701416,11.512553691864014,
DEU_LocationALower-34_52_T-1,,10,R_G2,vp,1,1,domain_dpll,,True,1,9,0,inf,1,4.0531158447265625e-05,0.0059435367584228516,0.0006048679351806641,8.058547973632812e-05,4.0531158447265625e-05,8.058547973632812e-05,0.0028994083404541016,0.00010585784912109375,0.0004990100860595703,0.00563812255859375,0.00030541419982910156,0.0,0.0,0.0,0.006669521331787109,1.2620344161987305,
DEU_LocationALower-34_52_T-1,,10,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,9,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.561819314956665,11.252927541732788,repair returned None
DEU_LocationALower-34_53_T-1,,7,R_G2,vp,1,1,domain_dpll,,True,1,10,0,inf,1,3.3855438232421875e-05,0.005490541458129883,0.00040602684020996094,7.414817810058594e-05,3.3855438232421875e-05,7.414817810058594e-05,0.0021653175354003906,0.00010037422180175781,0.0003056526184082031,0.0052187442779541016,0.00027179718017578125,0.0,0.0,0.0,0.0060045719146728516,1.0953152179718018,
